seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	False	0.0	0.32558139534883723	0.2235294117647059	0.47058823529411764	0.5581395348837209	0.5058823529411764	0.32558139534883723	0.5581395348837209	0.2235294117647059	0.5058823529411764
2	17	43	85	False	0.17647058823529413	0.2558139534883721	0.2235294117647059	0.5882352941176471	0.5116279069767442	0.5058823529411764	0.2558139534883721	0.5116279069767442	0.2235294117647059	0.5058823529411764
3	17	43	85	False	0.17647058823529413	0.23255813953488372	0.2235294117647059	0.47058823529411764	0.5116279069767442	0.5058823529411764	0.23255813953488372	0.5116279069767442	0.2235294117647059	0.5058823529411764
4	17	43	85	False	0.35294117647058826	0.13953488372093023	0.2235294117647059	0.5294117647058824	0.4418604651162791	0.5058823529411764	0.13953488372093023	0.4418604651162791	0.2235294117647059	0.5058823529411764
5	17	43	85	False	0.35294117647058826	0.20930232558139536	0.2235294117647059	0.5882352941176471	0.5116279069767442	0.5058823529411764	0.20930232558139536	0.5116279069767442	0.2235294117647059	0.5058823529411764
6	17	43	85	False	0.29411764705882354	0.13953488372093023	0.2235294117647059	0.35294117647058826	0.5116279069767442	0.5058823529411764	0.13953488372093023	0.5116279069767442	0.2235294117647059	0.5058823529411764
7	17	43	85	False	0.11764705882352941	0.27906976744186046	0.2235294117647059	0.5882352941176471	0.5348837209302325	0.5058823529411764	0.27906976744186046	0.5348837209302325	0.2235294117647059	0.5058823529411764
8	17	43	85	False	0.11764705882352941	0.27906976744186046	0.2235294117647059	0.5294117647058824	0.5116279069767442	0.5058823529411764	0.27906976744186046	0.5116279069767442	0.2235294117647059	0.5058823529411764
9	17	43	85	False	0.11764705882352941	0.3023255813953488	0.2235294117647059	0.4117647058823529	0.627906976744186	0.5058823529411764	0.3023255813953488	0.627906976744186	0.2235294117647059	0.5058823529411764
10	17	43	85	False	0.29411764705882354	0.16279069767441862	0.2235294117647059	0.5882352941176471	0.4883720930232558	0.5058823529411764	0.16279069767441862	0.4883720930232558	0.2235294117647059	0.5058823529411764
11	17	43	85	False	0.17647058823529413	0.20930232558139536	0.2235294117647059	0.6470588235294118	0.46511627906976744	0.5058823529411764	0.20930232558139536	0.46511627906976744	0.2235294117647059	0.5058823529411764
12	17	43	85	False	0.17647058823529413	0.27906976744186046	0.2235294117647059	0.4117647058823529	0.6046511627906976	0.5058823529411764	0.27906976744186046	0.6046511627906976	0.2235294117647059	0.5058823529411764
13	17	43	85	False	0.4117647058823529	0.18604651162790697	0.2235294117647059	0.5882352941176471	0.4883720930232558	0.5058823529411764	0.18604651162790697	0.4883720930232558	0.2235294117647059	0.5058823529411764
14	17	43	85	False	0.35294117647058826	0.11627906976744186	0.2235294117647059	0.5294117647058824	0.46511627906976744	0.5058823529411764	0.11627906976744186	0.46511627906976744	0.2235294117647059	0.5058823529411764
15	17	43	85	False	0.11764705882352941	0.27906976744186046	0.2235294117647059	0.47058823529411764	0.5581395348837209	0.5058823529411764	0.27906976744186046	0.5581395348837209	0.2235294117647059	0.5058823529411764
16	17	43	85	False	0.4117647058823529	0.16279069767441862	0.2235294117647059	0.5294117647058824	0.4883720930232558	0.5058823529411764	0.16279069767441862	0.4883720930232558	0.2235294117647059	0.5058823529411764
17	17	43	85	False	0.17647058823529413	0.27906976744186046	0.2235294117647059	0.4117647058823529	0.5581395348837209	0.5058823529411764	0.27906976744186046	0.5581395348837209	0.2235294117647059	0.5058823529411764
18	17	43	85	False	0.35294117647058826	0.27906976744186046	0.2235294117647059	0.5882352941176471	0.5581395348837209	0.5058823529411764	0.27906976744186046	0.5581395348837209	0.2235294117647059	0.5058823529411764
19	17	43	85	False	0.29411764705882354	0.18604651162790697	0.2235294117647059	0.5882352941176471	0.46511627906976744	0.5058823529411764	0.18604651162790697	0.46511627906976744	0.2235294117647059	0.5058823529411764
20	17	43	85	False	0.23529411764705882	0.20930232558139536	0.2235294117647059	0.5294117647058824	0.4883720930232558	0.5058823529411764	0.20930232558139536	0.4883720930232558	0.2235294117647059	0.5058823529411764
