seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.0	0.03125	0.023622047244094488	0.038461538461538464	0.296875	0.2283464566929134	0.03125	0.296875	0.023622047244094488	0.2283464566929134
2	26	64	127	False	0.0	0.03125	0.023622047244094488	0.11538461538461539	0.28125	0.2283464566929134	0.03125	0.28125	0.023622047244094488	0.2283464566929134
3	26	64	127	False	0.038461538461538464	0.0	0.023622047244094488	0.19230769230769232	0.203125	0.2283464566929134	0.0	0.203125	0.023622047244094488	0.2283464566929134
4	26	64	127	False	0.038461538461538464	0.03125	0.023622047244094488	0.23076923076923078	0.203125	0.2283464566929134	0.03125	0.203125	0.023622047244094488	0.2283464566929134
5	26	64	127	False	0.07692307692307693	0.015625	0.023622047244094488	0.2692307692307692	0.21875	0.2283464566929134	0.015625	0.21875	0.023622047244094488	0.2283464566929134
6	26	64	127	False	0.0	0.03125	0.023622047244094488	0.34615384615384615	0.203125	0.2283464566929134	0.03125	0.203125	0.023622047244094488	0.2283464566929134
7	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.19230769230769232	0.25	0.2283464566929134	0.015625	0.25	0.023622047244094488	0.2283464566929134
8	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.23076923076923078	0.25	0.2283464566929134	0.015625	0.25	0.023622047244094488	0.2283464566929134
9	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.2692307692307692	0.171875	0.2283464566929134	0.015625	0.171875	0.023622047244094488	0.2283464566929134
10	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.15384615384615385	0.234375	0.2283464566929134	0.015625	0.234375	0.023622047244094488	0.2283464566929134
11	26	64	127	False	0.07692307692307693	0.015625	0.023622047244094488	0.23076923076923078	0.25	0.2283464566929134	0.015625	0.25	0.023622047244094488	0.2283464566929134
12	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.19230769230769232	0.234375	0.2283464566929134	0.015625	0.234375	0.023622047244094488	0.2283464566929134
13	26	64	127	False	0.0	0.03125	0.023622047244094488	0.2692307692307692	0.21875	0.2283464566929134	0.03125	0.21875	0.023622047244094488	0.2283464566929134
14	26	64	127	False	0.0	0.015625	0.023622047244094488	0.2692307692307692	0.234375	0.2283464566929134	0.015625	0.234375	0.023622047244094488	0.2283464566929134
15	26	64	127	False	0.0	0.03125	0.023622047244094488	0.34615384615384615	0.21875	0.2283464566929134	0.03125	0.21875	0.023622047244094488	0.2283464566929134
16	26	64	127	False	0.0	0.03125	0.023622047244094488	0.23076923076923078	0.21875	0.2283464566929134	0.03125	0.21875	0.023622047244094488	0.2283464566929134
17	26	64	127	False	0.0	0.03125	0.023622047244094488	0.19230769230769232	0.265625	0.2283464566929134	0.03125	0.265625	0.023622047244094488	0.2283464566929134
18	26	64	127	False	0.0	0.03125	0.023622047244094488	0.4230769230769231	0.15625	0.2283464566929134	0.03125	0.15625	0.023622047244094488	0.2283464566929134
19	26	64	127	False	0.0	0.03125	0.023622047244094488	0.15384615384615385	0.25	0.2283464566929134	0.03125	0.25	0.023622047244094488	0.2283464566929134
20	26	64	127	False	0.038461538461538464	0.015625	0.023622047244094488	0.15384615384615385	0.265625	0.2283464566929134	0.015625	0.265625	0.023622047244094488	0.2283464566929134
