seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.0	0.078125	0.047244094488188976	0.5769230769230769	0.78125	0.7086614173228346	0.078125	0.78125	0.047244094488188976	0.7086614173228346
2	26	64	127	False	0.038461538461538464	0.078125	0.047244094488188976	0.8076923076923077	0.625	0.7086614173228346	0.078125	0.625	0.047244094488188976	0.7086614173228346
3	26	64	127	False	0.038461538461538464	0.078125	0.047244094488188976	0.6923076923076923	0.75	0.7086614173228346	0.078125	0.75	0.047244094488188976	0.7086614173228346
4	26	64	127	False	0.038461538461538464	0.0625	0.047244094488188976	0.7692307692307693	0.734375	0.7086614173228346	0.0625	0.734375	0.047244094488188976	0.7086614173228346
5	26	64	127	False	0.038461538461538464	0.015625	0.047244094488188976	0.7307692307692307	0.6875	0.7086614173228346	0.015625	0.6875	0.047244094488188976	0.7086614173228346
6	26	64	127	False	0.0	0.078125	0.047244094488188976	0.5769230769230769	0.71875	0.7086614173228346	0.078125	0.71875	0.047244094488188976	0.7086614173228346
7	26	64	127	False	0.0	0.03125	0.047244094488188976	0.6538461538461539	0.71875	0.7086614173228346	0.03125	0.71875	0.047244094488188976	0.7086614173228346
8	26	64	127	False	0.0	0.0625	0.047244094488188976	0.7307692307692307	0.671875	0.7086614173228346	0.0625	0.671875	0.047244094488188976	0.7086614173228346
9	26	64	127	False	0.038461538461538464	0.046875	0.047244094488188976	0.6153846153846154	0.671875	0.7086614173228346	0.046875	0.671875	0.047244094488188976	0.7086614173228346
10	26	64	127	False	0.038461538461538464	0.046875	0.047244094488188976	0.7307692307692307	0.6875	0.7086614173228346	0.046875	0.6875	0.047244094488188976	0.7086614173228346
11	26	64	127	False	0.11538461538461539	0.015625	0.047244094488188976	0.8461538461538461	0.65625	0.7086614173228346	0.015625	0.65625	0.047244094488188976	0.7086614173228346
12	26	64	127	False	0.07692307692307693	0.03125	0.047244094488188976	0.7692307692307693	0.671875	0.7086614173228346	0.03125	0.671875	0.047244094488188976	0.7086614173228346
13	26	64	127	False	0.11538461538461539	0.046875	0.047244094488188976	0.7307692307692307	0.75	0.7086614173228346	0.046875	0.75	0.047244094488188976	0.7086614173228346
14	26	64	127	False	0.07692307692307693	0.03125	0.047244094488188976	0.7307692307692307	0.6875	0.7086614173228346	0.03125	0.6875	0.047244094488188976	0.7086614173228346
15	26	64	127	False	0.038461538461538464	0.046875	0.047244094488188976	0.7692307692307693	0.671875	0.7086614173228346	0.046875	0.671875	0.047244094488188976	0.7086614173228346
16	26	64	127	False	0.07692307692307693	0.03125	0.047244094488188976	0.6923076923076923	0.734375	0.7086614173228346	0.03125	0.734375	0.047244094488188976	0.7086614173228346
17	26	64	127	False	0.038461538461538464	0.03125	0.047244094488188976	0.5769230769230769	0.75	0.7086614173228346	0.03125	0.75	0.047244094488188976	0.7086614173228346
18	26	64	127	False	0.07692307692307693	0.0625	0.047244094488188976	0.5769230769230769	0.71875	0.7086614173228346	0.0625	0.71875	0.047244094488188976	0.7086614173228346
19	26	64	127	False	0.038461538461538464	0.015625	0.047244094488188976	0.8461538461538461	0.65625	0.7086614173228346	0.015625	0.65625	0.047244094488188976	0.7086614173228346
20	26	64	127	False	0.038461538461538464	0.046875	0.047244094488188976	0.6923076923076923	0.71875	0.7086614173228346	0.046875	0.71875	0.047244094488188976	0.7086614173228346
