seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.19230769230769232	0.09375	0.16535433070866143	0.7692307692307693	0.890625	0.8188976377952756	0.09375	0.890625	0.16535433070866143	0.8188976377952756
2	26	64	127	False	0.15384615384615385	0.1875	0.16535433070866143	0.8461538461538461	0.75	0.8188976377952756	0.1875	0.75	0.16535433070866143	0.8188976377952756
3	26	64	127	False	0.2692307692307692	0.171875	0.16535433070866143	0.9230769230769231	0.84375	0.8188976377952756	0.171875	0.84375	0.16535433070866143	0.8188976377952756
4	26	64	127	False	0.23076923076923078	0.140625	0.16535433070866143	0.8846153846153846	0.859375	0.8188976377952756	0.140625	0.859375	0.16535433070866143	0.8188976377952756
5	26	64	127	False	0.11538461538461539	0.15625	0.16535433070866143	0.9230769230769231	0.796875	0.8188976377952756	0.15625	0.796875	0.16535433070866143	0.8188976377952756
6	26	64	127	False	0.07692307692307693	0.15625	0.16535433070866143	0.7692307692307693	0.78125	0.8188976377952756	0.15625	0.78125	0.16535433070866143	0.8188976377952756
7	26	64	127	False	0.15384615384615385	0.171875	0.16535433070866143	0.7692307692307693	0.765625	0.8188976377952756	0.171875	0.765625	0.16535433070866143	0.8188976377952756
8	26	64	127	False	0.23076923076923078	0.171875	0.16535433070866143	0.8076923076923077	0.78125	0.8188976377952756	0.171875	0.78125	0.16535433070866143	0.8188976377952756
9	26	64	127	False	0.19230769230769232	0.109375	0.16535433070866143	0.8076923076923077	0.796875	0.8188976377952756	0.109375	0.796875	0.16535433070866143	0.8188976377952756
10	26	64	127	False	0.15384615384615385	0.1875	0.16535433070866143	0.7307692307692307	0.859375	0.8188976377952756	0.1875	0.859375	0.16535433070866143	0.8188976377952756
11	26	64	127	False	0.23076923076923078	0.125	0.16535433070866143	0.9615384615384616	0.78125	0.8188976377952756	0.125	0.78125	0.16535433070866143	0.8188976377952756
12	26	64	127	False	0.23076923076923078	0.109375	0.16535433070866143	0.9615384615384616	0.78125	0.8188976377952756	0.109375	0.78125	0.16535433070866143	0.8188976377952756
13	26	64	127	False	0.11538461538461539	0.125	0.16535433070866143	0.7692307692307693	0.875	0.8188976377952756	0.125	0.875	0.16535433070866143	0.8188976377952756
14	26	64	127	False	0.19230769230769232	0.140625	0.16535433070866143	0.8846153846153846	0.8125	0.8188976377952756	0.140625	0.8125	0.16535433070866143	0.8188976377952756
15	26	64	127	False	0.15384615384615385	0.234375	0.16535433070866143	0.8076923076923077	0.78125	0.8188976377952756	0.234375	0.78125	0.16535433070866143	0.8188976377952756
16	26	64	127	False	0.15384615384615385	0.1875	0.16535433070866143	0.7307692307692307	0.859375	0.8188976377952756	0.1875	0.859375	0.16535433070866143	0.8188976377952756
17	26	64	127	False	0.11538461538461539	0.125	0.16535433070866143	0.6923076923076923	0.875	0.8188976377952756	0.125	0.875	0.16535433070866143	0.8188976377952756
18	26	64	127	False	0.15384615384615385	0.1875	0.16535433070866143	0.7692307692307693	0.859375	0.8188976377952756	0.1875	0.859375	0.16535433070866143	0.8188976377952756
19	26	64	127	False	0.038461538461538464	0.140625	0.16535433070866143	0.8461538461538461	0.8125	0.8188976377952756	0.140625	0.8125	0.16535433070866143	0.8188976377952756
20	26	64	127	False	0.15384615384615385	0.171875	0.16535433070866143	0.8846153846153846	0.796875	0.8188976377952756	0.171875	0.796875	0.16535433070866143	0.8188976377952756
