seed	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.07692307692307693	0.03125	0.06299212598425197	0.6153846153846154	0.5625	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.038461538461538464	0.1875	0.12598425196850394	0.0	0.078125	0.05511811023622047	0.6153846153846154	0.546875	0.5826771653543307	0.078125	0.5625	0.06299212598425197	0.6141732283464567
2	26	64	127	False	0.11538461538461539	0.0625	0.06299212598425197	0.7307692307692307	0.546875	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.07692307692307693	0.15625	0.12598425196850394	0.15384615384615385	0.015625	0.05511811023622047	0.5769230769230769	0.546875	0.5826771653543307	0.0625	0.546875	0.06299212598425197	0.6141732283464567
3	26	64	127	False	0.038461538461538464	0.078125	0.06299212598425197	0.6923076923076923	0.671875	0.6141732283464567	0.0	0.0	0.007874015748031496	0.15384615384615385	0.140625	0.12598425196850394	0.07692307692307693	0.03125	0.05511811023622047	0.5769230769230769	0.625	0.5826771653543307	0.078125	0.671875	0.06299212598425197	0.6141732283464567
4	26	64	127	False	0.038461538461538464	0.03125	0.06299212598425197	0.6153846153846154	0.609375	0.6141732283464567	0.0	0.0	0.007874015748031496	0.038461538461538464	0.15625	0.12598425196850394	0.0	0.078125	0.05511811023622047	0.5769230769230769	0.59375	0.5826771653543307	0.078125	0.609375	0.06299212598425197	0.6141732283464567
5	26	64	127	False	0.0	0.09375	0.06299212598425197	0.6923076923076923	0.578125	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.07692307692307693	0.109375	0.12598425196850394	0.0	0.078125	0.05511811023622047	0.5384615384615384	0.625	0.5826771653543307	0.09375	0.625	0.06299212598425197	0.6141732283464567
6	26	64	127	False	0.11538461538461539	0.046875	0.06299212598425197	0.6153846153846154	0.609375	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.11538461538461539	0.125	0.12598425196850394	0.038461538461538464	0.0625	0.05511811023622047	0.5	0.640625	0.5826771653543307	0.0625	0.640625	0.06299212598425197	0.6141732283464567
7	26	64	127	False	0.07692307692307693	0.0625	0.06299212598425197	0.5384615384615384	0.578125	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.15384615384615385	0.140625	0.12598425196850394	0.038461538461538464	0.046875	0.05511811023622047	0.5384615384615384	0.578125	0.5826771653543307	0.0625	0.578125	0.06299212598425197	0.6141732283464567
8	26	64	127	False	0.038461538461538464	0.0625	0.06299212598425197	0.6538461538461539	0.671875	0.6141732283464567	0.038461538461538464	0.0	0.007874015748031496	0.23076923076923078	0.109375	0.12598425196850394	0.038461538461538464	0.078125	0.05511811023622047	0.5769230769230769	0.640625	0.5826771653543307	0.078125	0.671875	0.06299212598425197	0.6141732283464567
9	26	64	127	False	0.07692307692307693	0.046875	0.06299212598425197	0.6923076923076923	0.5	0.6141732283464567	0.038461538461538464	0.0	0.007874015748031496	0.07692307692307693	0.09375	0.12598425196850394	0.11538461538461539	0.03125	0.05511811023622047	0.5769230769230769	0.46875	0.5826771653543307	0.046875	0.5	0.06299212598425197	0.6141732283464567
10	26	64	127	False	0.07692307692307693	0.09375	0.06299212598425197	0.6923076923076923	0.59375	0.6141732283464567	0.0	0.015625	0.007874015748031496	0.07692307692307693	0.171875	0.12598425196850394	0.038461538461538464	0.0625	0.05511811023622047	0.46153846153846156	0.59375	0.5826771653543307	0.09375	0.59375	0.06299212598425197	0.6141732283464567
