seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	63	126	False													0.46153846153846156	0.2698412698412698	0.3492063492063492	0.6153846153846154	0.47619047619047616	0.5238095238095238	0.2698412698412698	0.47619047619047616	0.3492063492063492	0.5238095238095238
2	26	63	126	False													0.5	0.3492063492063492	0.3492063492063492	0.6538461538461539	0.49206349206349204	0.5238095238095238	0.3492063492063492	0.49206349206349204	0.3492063492063492	0.5238095238095238
3	26	63	126	False													0.46153846153846156	0.36507936507936506	0.3492063492063492	0.5384615384615384	0.5396825396825397	0.5238095238095238	0.36507936507936506	0.5396825396825397	0.3492063492063492	0.5238095238095238
4	26	63	126	False													0.2692307692307692	0.38095238095238093	0.3492063492063492	0.34615384615384615	0.5873015873015873	0.5238095238095238	0.38095238095238093	0.5873015873015873	0.3492063492063492	0.5238095238095238
5	26	63	126	False													0.3076923076923077	0.4126984126984127	0.3492063492063492	0.46153846153846156	0.5555555555555556	0.5238095238095238	0.4126984126984127	0.5555555555555556	0.3492063492063492	0.5238095238095238
6	26	63	126	False													0.4230769230769231	0.3492063492063492	0.3492063492063492	0.5384615384615384	0.5238095238095238	0.5238095238095238	0.3492063492063492	0.5238095238095238	0.3492063492063492	0.5238095238095238
7	26	63	126	False													0.3076923076923077	0.4126984126984127	0.3492063492063492	0.5	0.5873015873015873	0.5238095238095238	0.4126984126984127	0.5873015873015873	0.3492063492063492	0.5238095238095238
8	26	63	126	False													0.4230769230769231	0.3492063492063492	0.3492063492063492	0.5	0.5238095238095238	0.5238095238095238	0.3492063492063492	0.5238095238095238	0.3492063492063492	0.5238095238095238
9	26	63	126	False													0.46153846153846156	0.30158730158730157	0.3492063492063492	0.6153846153846154	0.49206349206349204	0.5238095238095238	0.30158730158730157	0.49206349206349204	0.3492063492063492	0.5238095238095238
10	26	63	126	False													0.3076923076923077	0.3968253968253968	0.3492063492063492	0.46153846153846156	0.5714285714285714	0.5238095238095238	0.3968253968253968	0.5714285714285714	0.3492063492063492	0.5238095238095238
11	26	63	126	False													0.38461538461538464	0.3333333333333333	0.3492063492063492	0.5769230769230769	0.47619047619047616	0.5238095238095238	0.3333333333333333	0.47619047619047616	0.3492063492063492	0.5238095238095238
12	26	63	126	False													0.38461538461538464	0.36507936507936506	0.3492063492063492	0.6153846153846154	0.5396825396825397	0.5238095238095238	0.36507936507936506	0.5396825396825397	0.3492063492063492	0.5238095238095238
13	26	63	126	False													0.5384615384615384	0.2857142857142857	0.3492063492063492	0.7692307692307693	0.4603174603174603	0.5238095238095238	0.2857142857142857	0.4603174603174603	0.3492063492063492	0.5238095238095238
14	26	63	126	False													0.34615384615384615	0.30158730158730157	0.3492063492063492	0.5	0.47619047619047616	0.5238095238095238	0.30158730158730157	0.47619047619047616	0.3492063492063492	0.5238095238095238
15	26	63	126	False													0.3076923076923077	0.3968253968253968	0.3492063492063492	0.5384615384615384	0.5079365079365079	0.5238095238095238	0.3968253968253968	0.5079365079365079	0.3492063492063492	0.5238095238095238
16	26	63	126	False													0.34615384615384615	0.4126984126984127	0.3492063492063492	0.6538461538461539	0.5396825396825397	0.5238095238095238	0.4126984126984127	0.5396825396825397	0.3492063492063492	0.5238095238095238
17	26	63	126	False													0.38461538461538464	0.3333333333333333	0.3492063492063492	0.5769230769230769	0.49206349206349204	0.5238095238095238	0.3333333333333333	0.49206349206349204	0.3492063492063492	0.5238095238095238
18	26	63	126	False													0.2692307692307692	0.36507936507936506	0.3492063492063492	0.5	0.5079365079365079	0.5238095238095238	0.36507936507936506	0.5079365079365079	0.3492063492063492	0.5238095238095238
19	26	63	126	False													0.38461538461538464	0.3968253968253968	0.3492063492063492	0.4230769230769231	0.6190476190476191	0.5238095238095238	0.3968253968253968	0.6190476190476191	0.3492063492063492	0.5238095238095238
20	26	63	126	False													0.2692307692307692	0.36507936507936506	0.3492063492063492	0.46153846153846156	0.47619047619047616	0.5238095238095238	0.36507936507936506	0.47619047619047616	0.3492063492063492	0.5238095238095238
