subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
captain	deepseek-8b	oat.s42	0.1412	0.4235	0.2118	0.4235	0.1985	0.4000	0.2285	0.4000	0.1765	0.3412	0.4235	0.2863	0.2353	0.4824	0.5059	0.6706	0.6824	0.7947	0.1395	85
captain	deepseek-8b	oat.s43	0.1412	0.4235	0.2118	0.4235	0.1792	0.3529	0.2035	0.3529	0.1647	0.3294	0.4235	0.2784	0.2235	0.4941	0.5176	0.6824	0.6941	0.7905	0.1335	85
captain	deepseek-8b	oat.s44	0.1451	0.4353	0.2176	0.4353	0.1434	0.2941	0.1641	0.2941	0.1294	0.2941	0.4353	0.2588	0.1882	0.4471	0.4706	0.6471	0.6706	0.7812	0.1284	85
captain	deepseek-8b	oat.s45	0.1412	0.4235	0.2118	0.4235	0.1618	0.3176	0.1841	0.3176	0.1529	0.3059	0.4235	0.2686	0.2118	0.4471	0.4706	0.6588	0.6706	0.7857	0.1340	85
captain	deepseek-8b	oat.s46	0.1490	0.4471	0.2235	0.4471	0.1525	0.3294	0.1773	0.3294	0.1647	0.3412	0.4471	0.2882	0.2235	0.4471	0.4706	0.6588	0.6706	0.7916	0.1374	85
captain	deepseek-8b	stepfinder.s42	0.1686	0.5059	0.2529	0.5059					0.2235	0.3647	0.5059	0.3412	0.3176	0.5529	0.6000	0.6588	0.6824	0.7599	0.1479	85
captain	deepseek-8b	stepfinder.s43	0.1412	0.4235	0.2118	0.4235					0.1529	0.2706	0.4235	0.2627	0.2471	0.4118	0.4706	0.5176	0.5882	0.7076	0.1242	85
captain	deepseek-8b	stepfinder.s44	0.0784	0.2353	0.1176	0.2353					0.0471	0.1294	0.2353	0.1235	0.3294	0.4353	0.5647	0.6000	0.6588	0.5689	0.0617	85
captain	deepseek-8b	stepfinder.s45	0.1216	0.3647	0.1824	0.3647					0.1882	0.2588	0.3647	0.2588	0.3412	0.4235	0.4706	0.5647	0.6000	0.7052	0.1498	85
captain	deepseek-8b	stepfinder.s46	0.1569	0.4706	0.2353	0.4706					0.1765	0.3412	0.4706	0.3020	0.2471	0.4235	0.4706	0.6353	0.6588	0.7407	0.1561	85
captain	qwen3-embedding-0.6b	stepfinder.s42	0.1529	0.4588	0.2294	0.4588					0.1765	0.3294	0.4588	0.2961	0.2471	0.4118	0.4471	0.6588	0.6941	0.7393	0.1609	85
captain	qwen3-embedding-0.6b	stepfinder.s43	0.1176	0.3529	0.1765	0.3529					0.1882	0.2588	0.3529	0.2549	0.2588	0.4235	0.4706	0.6824	0.7059	0.6987	0.1469	85
captain	qwen3-embedding-0.6b	stepfinder.s44	0.1255	0.3765	0.1882	0.3765					0.1647	0.3294	0.3765	0.2627	0.2706	0.3647	0.4000	0.6118	0.6235	0.6788	0.1453	85
captain	qwen3-embedding-0.6b	stepfinder.s45	0.1333	0.4000	0.2000	0.4000					0.1529	0.2588	0.4000	0.2529	0.2471	0.4471	0.4706	0.6588	0.6824	0.6985	0.1225	85
captain	qwen3-embedding-0.6b	stepfinder.s46	0.1255	0.3765	0.1882	0.3765					0.1412	0.2588	0.3765	0.2392	0.2588	0.4471	0.4588	0.6235	0.6353	0.7144	0.1307	85
captain	qwen3.5-9b	oat.s42	0.1686	0.5059	0.2529	0.5059	0.1856	0.4824	0.2302	0.4824	0.1765	0.3529	0.5059	0.3157	0.2588	0.4941	0.5059	0.6941	0.7059	0.7681	0.1554	85
captain	qwen3.5-9b	oat.s43	0.1608	0.4824	0.2412	0.4824	0.1742	0.4353	0.2150	0.4353	0.1529	0.2941	0.4824	0.2863	0.2235	0.4706	0.4941	0.6941	0.7059	0.7586	0.1438	85
captain	qwen3.5-9b	oat.s44	0.1804	0.5412	0.2706	0.5412	0.1786	0.4706	0.2230	0.4706	0.1765	0.3529	0.5412	0.3275	0.2471	0.4941	0.5176	0.7294	0.7412	0.7697	0.1596	85
captain	qwen3.5-9b	oat.s45	0.1686	0.5059	0.2529	0.5059	0.1938	0.4941	0.2399	0.4941	0.1765	0.3412	0.5059	0.3137	0.2588	0.5059	0.5176	0.7412	0.7529	0.7729	0.1500	85
captain	qwen3.5-9b	oat.s46	0.1686	0.5059	0.2529	0.5059	0.1834	0.3765	0.2140	0.3765	0.1882	0.3294	0.5059	0.3176	0.2706	0.4941	0.5059	0.7059	0.7176	0.7691	0.1543	85
captain	qwen3.5-9b	stepfinder.s42	0.1098	0.3294	0.1647	0.3294					0.0941	0.2353	0.3294	0.1961	0.1647	0.3059	0.3529	0.5059	0.6118	0.6246	0.0899	85
captain	qwen3.5-9b	stepfinder.s43	0.1333	0.4000	0.2000	0.4000					0.1882	0.3059	0.4000	0.2784	0.2706	0.4706	0.4941	0.6118	0.6235	0.6181	0.1235	85
captain	qwen3.5-9b	stepfinder.s44	0.1059	0.3176	0.1588	0.3176					0.1294	0.2353	0.3176	0.2098	0.1765	0.3059	0.4000	0.4941	0.5294	0.5984	0.1149	85
captain	qwen3.5-9b	stepfinder.s45	0.0941	0.2824	0.1412	0.2824					0.1647	0.2471	0.2824	0.2176	0.2824	0.4471	0.4941	0.5882	0.6235	0.5970	0.1170	85
