model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	magentic	18.0	46.0	91.0	0.0	0.17777777777777776	0.15217391304347824	0.15384615384615383	0.7666666666666665	0.7989130434782609	0.7802197802197803	0.036111111111111115	0.056521739130434775	0.05494505494505495	0.4916666666666667	0.4771739130434782	0.48351648351648346	0.02222222222222222	0.034782608695652174	0.03296703296703297	0.6222222222222222	0.641304347826087	0.6263736263736263	0.02222222222222222	0.032608695652173905	0.03296703296703297	0.475	0.4347826086956522	0.4395604395604396	0.01944444444444444	0.022826086956521736	0.021978021978021976	0.45	0.45543478260869563	0.45054945054945056	0.1532608695652174	0.7989130434782609	0.15384615384615383	0.7802197802197803
qwen3-embedding-0.6b	captain	17.0	43.0	85.0	0.0	0.2176470588235294	0.2337209302325582	0.2235294117647059	0.4294117647058823	0.45813953488372094	0.4352941176470589	0.17058823529411765	0.17093023255813952	0.1764705882352941	0.611764705882353	0.6232558139534883	0.6117647058823529	0.15882352941176464	0.18488372093023253	0.1764705882352941	0.5558823529411765	0.5581395348837208	0.5529411764705883	0.12352941176470586	0.16046511627906973	0.15294117647058822	0.5529411764705883	0.5651162790697672	0.5529411764705883	0.13529411764705884	0.1697674418604651	0.16470588235294115	0.45588235294117646	0.47558139534883725	0.47058823529411764	0.23604651162790705	0.6244186046511626	0.2235294117647059	0.6117647058823529
qwen3-embedding-0.6b	swe	9.0	22.0	44.0	0.0	0.09444444444444444	0.10454545454545454	0.0909090909090909	0.45	0.4704545454545454	0.4772727272727272	0.06666666666666668	0.10227272727272725	0.0909090909090909	0.5	0.5431818181818182	0.5454545454545453	0.061111111111111116	0.06818181818181816	0.06818181818181816	0.5777777777777778	0.6295454545454545	0.6136363636363635	0.055555555555555546	0.0409090909090909	0.04545454545454545	0.6944444444444444	0.7204545454545455	0.7272727272727272	0.11666666666666667	0.10681818181818178	0.11363636363636365	0.5166666666666667	0.5295454545454544	0.5454545454545453	0.12727272727272726	0.7250000000000001	0.11363636363636365	0.7272727272727272
qwen3.5-9b	magentic	18.0	46.0	91.0	0.0	0.01111111111111111	0.010869565217391302	0.010989010989010988	0.35	0.3521739130434783	0.3516483516483516	0.05555555555555556	0.047826086956521734	0.05494505494505495	0.7249999999999999	0.7597826086956522	0.7472527472527475	0.01666666666666667	0.018478260869565215	0.021978021978021976	0.47777777777777775	0.45000000000000007	0.46153846153846156	0.04166666666666667	0.05108695652173913	0.05494505494505495	0.5194444444444445	0.5260869565217392	0.5274725274725275	0.07777777777777779	0.07608695652173912	0.07692307692307691	0.5333333333333333	0.5597826086956521	0.5384615384615384	0.07934782608695652	0.7597826086956522	0.07692307692307691	0.7472527472527475
qwen3.5-9b	captain	17.0	43.0	85.0	0.0	0.15294117647058822	0.17209302325581394	0.16470588235294115	0.48235294117647054	0.48953488372093024	0.48235294117647054	0.16470588235294115	0.17906976744186048	0.1764705882352941	0.40588235294117647	0.3802325581395348	0.3882352941176471	0.18823529411764703	0.21860465116279074	0.21176470588235294	0.47058823529411775	0.4779069767441861	0.47058823529411764	0.12941176470588234	0.15465116279069765	0.1411764705882353	0.5558823529411765	0.5546511627906977	0.5411764705882353	0.18235294117647055	0.20232558139534884	0.20000000000000004	0.4529411764705883	0.45813953488372106	0.4588235294117647	0.22441860465116284	0.5604651162790696	0.21176470588235294	0.5411764705882353
qwen3.5-9b	swe	9.0	22.0	44.0	0.0	0.0	0.0	0.0	0.3722222222222222	0.3886363636363636	0.3863636363636364	0.02777777777777778	0.05681818181818181	0.04545454545454545	0.4	0.3977272727272727	0.40909090909090906	0.005555555555555555	0.02954545454545454	0.022727272727272724	0.5222222222222223	0.525	0.5454545454545453	0.08333333333333333	0.1	0.0909090909090909	0.6	0.6113636363636363	0.6363636363636365	0.07222222222222222	0.09318181818181817	0.0909090909090909	0.6777777777777777	0.6840909090909091	0.7045454545454547	0.11363636363636362	0.6886363636363636	0.0909090909090909	0.7045454545454547
deepseek-8b	magentic	18.0	46.0	91.0	0.0	0.04722222222222222	0.05434782608695652	0.05494505494505495	0.6333333333333332	0.6869565217391304	0.6593406593406592	0.05555555555555556	0.04021739130434782	0.04395604395604395	0.46111111111111114	0.4641304347826086	0.46153846153846156	0.019444444444444448	0.03152173913043478	0.03296703296703297	0.4833333333333334	0.525	0.5164835164835165	0.06666666666666668	0.08369565217391303	0.07692307692307691	0.5277777777777778	0.5695652173913044	0.5494505494505495	0.10555555555555556	0.10543478260869565	0.09890109890109891	0.7277777777777779	0.7456521739130435	0.7362637362637365	0.10978260869565215	0.7510869565217392	0.09890109890109891	0.7362637362637365
deepseek-8b	captain	17.0	43.0	85.0	0.0	0.22941176470588234	0.20348837209302326	0.21176470588235294	0.661764705882353	0.6534883720930231	0.6588235294117646	0.2823529411764706	0.2872093023255814	0.2823529411764706	0.6647058823529413	0.6534883720930231	0.6588235294117646	0.2176470588235294	0.163953488372093	0.1764705882352941	0.5941176470588235	0.5604651162790697	0.5764705882352941	0.1294117647058823	0.15	0.1411764705882353	0.4794117647058824	0.5023255813953489	0.49411764705882355	0.10294117647058823	0.0767441860465116	0.08235294117647057	0.5794117647058824	0.5662790697674419	0.5764705882352941	0.2883720930232558	0.6662790697674418	0.2823529411764706	0.6588235294117646
deepseek-8b	swe	9.0	22.0	44.0	0.0	0.06666666666666668	0.03636363636363636	0.04545454545454545	0.6055555555555555	0.6113636363636364	0.6136363636363635	0.0	0.0	0.0	0.36111111111111105	0.38636363636363635	0.3636363636363636	0.03333333333333334	0.03409090909090909	0.04545454545454545	0.41666666666666663	0.45	0.4545454545454546	0.05000000000000001	0.07499999999999998	0.06818181818181816	0.4333333333333333	0.4613636363636363	0.4545454545454546	0.02777777777777778	0.02727272727272727	0.022727272727272724	0.17777777777777778	0.17727272727272725	0.15909090909090912	0.0818181818181818	0.615909090909091	0.06818181818181816	0.6136363636363635
qwen3.5-4b	magentic	18.0	46.0	91.0	0.0	0.058333333333333334	0.05652173913043479	0.05494505494505495	0.6416666666666666	0.6228260869565219	0.6263736263736263	0.09444444444444446	0.04782608695652173	0.05494505494505495	0.6777777777777778	0.6695652173913044	0.6593406593406592	0.038888888888888896	0.032608695652173905	0.03296703296703297	0.6277777777777777	0.6423913043478262	0.6373626373626372	0.1305555555555555	0.0934782608695652	0.09890109890109891	0.7611111111111111	0.7597826086956523	0.7582417582417584	0.061111111111111116	0.05434782608695652	0.05494505494505495	0.5499999999999999	0.5858695652173913	0.5714285714285714	0.09782608695652173	0.7597826086956523	0.09890109890109891	0.7582417582417584
