seed	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.0	0.015625	0.03937007874015748	0.4230769230769231	0.578125	0.5433070866141733	0.0	0.015625	0.031496062992125984	0.19230769230769232	0.125	0.16535433070866143	0.11538461538461539	0.140625	0.16535433070866143	0.5769230769230769	0.46875	0.5196850393700787	0.19230769230769232	0.078125	0.11811023622047244	0.6153846153846154	0.78125	0.7322834645669292	0.07692307692307693	0.109375	0.11023622047244094	0.7692307692307693	0.828125	0.7559055118110236	0.140625	0.828125	0.16535433070866143	0.7559055118110236
2	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.6153846153846154	0.5	0.5433070866141733	0.038461538461538464	0.015625	0.031496062992125984	0.2692307692307692	0.09375	0.16535433070866143	0.23076923076923078	0.15625	0.16535433070866143	0.5384615384615384	0.484375	0.5196850393700787	0.11538461538461539	0.140625	0.11811023622047244	0.7692307692307693	0.71875	0.7322834645669292	0.23076923076923078	0.109375	0.11023622047244094	0.8461538461538461	0.765625	0.7559055118110236	0.15625	0.765625	0.16535433070866143	0.7559055118110236
3	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.6153846153846154	0.515625	0.5433070866141733	0.038461538461538464	0.03125	0.031496062992125984	0.11538461538461539	0.15625	0.16535433070866143	0.23076923076923078	0.171875	0.16535433070866143	0.6153846153846154	0.484375	0.5196850393700787	0.23076923076923078	0.078125	0.11811023622047244	0.9230769230769231	0.734375	0.7322834645669292	0.19230769230769232	0.078125	0.11023622047244094	0.8846153846153846	0.78125	0.7559055118110236	0.171875	0.78125	0.16535433070866143	0.7559055118110236
4	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.7307692307692307	0.5	0.5433070866141733	0.07692307692307693	0.015625	0.031496062992125984	0.19230769230769232	0.140625	0.16535433070866143	0.2692307692307692	0.15625	0.16535433070866143	0.6923076923076923	0.546875	0.5196850393700787	0.23076923076923078	0.09375	0.11811023622047244	0.8461538461538461	0.78125	0.7322834645669292	0.07692307692307693	0.140625	0.11023622047244094	0.8076923076923077	0.8125	0.7559055118110236	0.15625	0.8125	0.16535433070866143	0.7559055118110236
5	26	64	127	False	0.0	0.03125	0.03937007874015748	0.5	0.484375	0.5433070866141733	0.0	0.03125	0.031496062992125984	0.15384615384615385	0.15625	0.16535433070866143	0.2692307692307692	0.125	0.16535433070866143	0.5769230769230769	0.453125	0.5196850393700787	0.15384615384615385	0.125	0.11811023622047244	0.8076923076923077	0.734375	0.7322834645669292	0.15384615384615385	0.0625	0.11023622047244094	0.8461538461538461	0.6875	0.7559055118110236	0.125	0.734375	0.16535433070866143	0.7559055118110236
6	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.5384615384615384	0.53125	0.5433070866141733	0.07692307692307693	0.0	0.031496062992125984	0.2692307692307692	0.15625	0.16535433070866143	0.23076923076923078	0.15625	0.16535433070866143	0.46153846153846156	0.484375	0.5196850393700787	0.19230769230769232	0.078125	0.11811023622047244	0.6538461538461539	0.796875	0.7322834645669292	0.038461538461538464	0.15625	0.11023622047244094	0.6538461538461539	0.765625	0.7559055118110236	0.15625	0.796875	0.16535433070866143	0.7559055118110236
7	26	64	127	False	0.038461538461538464	0.03125	0.03937007874015748	0.6923076923076923	0.390625	0.5433070866141733	0.0	0.046875	0.031496062992125984	0.19230769230769232	0.203125	0.16535433070866143	0.11538461538461539	0.078125	0.16535433070866143	0.5769230769230769	0.4375	0.5196850393700787	0.07692307692307693	0.125	0.11811023622047244	0.7307692307692307	0.71875	0.7322834645669292	0.11538461538461539	0.125	0.11023622047244094	0.8076923076923077	0.71875	0.7559055118110236	0.125	0.71875	0.16535433070866143	0.7559055118110236
8	26	64	127	False	0.0	0.046875	0.03937007874015748	0.5	0.515625	0.5433070866141733	0.0	0.046875	0.031496062992125984	0.0	0.25	0.16535433070866143	0.15384615384615385	0.15625	0.16535433070866143	0.5384615384615384	0.453125	0.5196850393700787	0.11538461538461539	0.109375	0.11811023622047244	0.7307692307692307	0.796875	0.7322834645669292	0.11538461538461539	0.09375	0.11023622047244094	0.7692307692307693	0.78125	0.7559055118110236	0.15625	0.796875	0.16535433070866143	0.7559055118110236
9	26	64	127	False	0.0	0.03125	0.03937007874015748	0.46153846153846156	0.515625	0.5433070866141733	0.0	0.046875	0.031496062992125984	0.11538461538461539	0.15625	0.16535433070866143	0.15384615384615385	0.1875	0.16535433070866143	0.38461538461538464	0.53125	0.5196850393700787	0.11538461538461539	0.109375	0.11811023622047244	0.6923076923076923	0.703125	0.7322834645669292	0.19230769230769232	0.046875	0.11023622047244094	0.7307692307692307	0.734375	0.7559055118110236	0.1875	0.734375	0.16535433070866143	0.7559055118110236
10	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.4230769230769231	0.578125	0.5433070866141733	0.038461538461538464	0.046875	0.031496062992125984	0.15384615384615385	0.1875	0.16535433070866143	0.23076923076923078	0.140625	0.16535433070866143	0.5	0.53125	0.5196850393700787	0.19230769230769232	0.109375	0.11811023622047244	0.7692307692307693	0.734375	0.7322834645669292	0.19230769230769232	0.078125	0.11023622047244094	0.7307692307692307	0.765625	0.7559055118110236	0.140625	0.765625	0.16535433070866143	0.7559055118110236
11	26	64	127	False	0.0	0.046875	0.03937007874015748	0.5769230769230769	0.53125	0.5433070866141733	0.038461538461538464	0.0	0.031496062992125984	0.15384615384615385	0.15625	0.16535433070866143	0.11538461538461539	0.1875	0.16535433070866143	0.4230769230769231	0.59375	0.5196850393700787	0.07692307692307693	0.125	0.11811023622047244	0.7307692307692307	0.734375	0.7322834645669292	0.038461538461538464	0.125	0.11023622047244094	0.7307692307692307	0.75	0.7559055118110236	0.1875	0.75	0.16535433070866143	0.7559055118110236
12	26	64	127	False	0.0	0.046875	0.03937007874015748	0.3076923076923077	0.609375	0.5433070866141733	0.0	0.03125	0.031496062992125984	0.19230769230769232	0.125	0.16535433070866143	0.07692307692307693	0.171875	0.16535433070866143	0.38461538461538464	0.5625	0.5196850393700787	0.15384615384615385	0.109375	0.11811023622047244	0.6538461538461539	0.734375	0.7322834645669292	0.11538461538461539	0.078125	0.11023622047244094	0.7692307692307693	0.703125	0.7559055118110236	0.171875	0.734375	0.16535433070866143	0.7559055118110236
13	26	64	127	False	0.07692307692307693	0.0	0.03937007874015748	0.6538461538461539	0.53125	0.5433070866141733	0.038461538461538464	0.015625	0.031496062992125984	0.19230769230769232	0.09375	0.16535433070866143	0.2692307692307692	0.109375	0.16535433070866143	0.5384615384615384	0.421875	0.5196850393700787	0.15384615384615385	0.09375	0.11811023622047244	0.7692307692307693	0.75	0.7322834645669292	0.15384615384615385	0.109375	0.11023622047244094	0.8461538461538461	0.78125	0.7559055118110236	0.109375	0.78125	0.16535433070866143	0.7559055118110236
14	26	64	127	False	0.038461538461538464	0.0625	0.03937007874015748	0.5384615384615384	0.59375	0.5433070866141733	0.038461538461538464	0.03125	0.031496062992125984	0.23076923076923078	0.125	0.16535433070866143	0.19230769230769232	0.171875	0.16535433070866143	0.4230769230769231	0.53125	0.5196850393700787	0.07692307692307693	0.125	0.11811023622047244	0.8076923076923077	0.75	0.7322834645669292	0.11538461538461539	0.09375	0.11023622047244094	0.8076923076923077	0.765625	0.7559055118110236	0.171875	0.765625	0.16535433070866143	0.7559055118110236
15	26	64	127	False	0.0	0.078125	0.03937007874015748	0.46153846153846156	0.578125	0.5433070866141733	0.0	0.0625	0.031496062992125984	0.2692307692307692	0.15625	0.16535433070866143	0.038461538461538464	0.1875	0.16535433070866143	0.4230769230769231	0.484375	0.5196850393700787	0.11538461538461539	0.078125	0.11811023622047244	0.6923076923076923	0.71875	0.7322834645669292	0.11538461538461539	0.078125	0.11023622047244094	0.6538461538461539	0.765625	0.7559055118110236	0.1875	0.765625	0.16535433070866143	0.7559055118110236
16	26	64	127	False	0.11538461538461539	0.015625	0.03937007874015748	0.5	0.53125	0.5433070866141733	0.07692307692307693	0.03125	0.031496062992125984	0.15384615384615385	0.203125	0.16535433070866143	0.11538461538461539	0.21875	0.16535433070866143	0.38461538461538464	0.546875	0.5196850393700787	0.15384615384615385	0.140625	0.11811023622047244	0.6538461538461539	0.78125	0.7322834645669292	0.15384615384615385	0.109375	0.11023622047244094	0.6153846153846154	0.796875	0.7559055118110236	0.21875	0.796875	0.16535433070866143	0.7559055118110236
17	26	64	127	False	0.07692307692307693	0.0	0.03937007874015748	0.5769230769230769	0.5	0.5433070866141733	0.038461538461538464	0.03125	0.031496062992125984	0.23076923076923078	0.078125	0.16535433070866143	0.07692307692307693	0.171875	0.16535433070866143	0.5	0.46875	0.5196850393700787	0.23076923076923078	0.09375	0.11811023622047244	0.6538461538461539	0.78125	0.7322834645669292	0.19230769230769232	0.078125	0.11023622047244094	0.6538461538461539	0.796875	0.7559055118110236	0.171875	0.796875	0.16535433070866143	0.7559055118110236
18	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.5384615384615384	0.609375	0.5433070866141733	0.0	0.046875	0.031496062992125984	0.23076923076923078	0.15625	0.16535433070866143	0.15384615384615385	0.1875	0.16535433070866143	0.46153846153846156	0.625	0.5196850393700787	0.07692307692307693	0.078125	0.11811023622047244	0.7307692307692307	0.734375	0.7322834645669292	0.15384615384615385	0.109375	0.11023622047244094	0.7692307692307693	0.8125	0.7559055118110236	0.1875	0.8125	0.16535433070866143	0.7559055118110236
19	26	64	127	False	0.0	0.0625	0.03937007874015748	0.5384615384615384	0.546875	0.5433070866141733	0.038461538461538464	0.03125	0.031496062992125984	0.11538461538461539	0.15625	0.16535433070866143	0.15384615384615385	0.171875	0.16535433070866143	0.5769230769230769	0.53125	0.5196850393700787	0.11538461538461539	0.171875	0.11811023622047244	0.8076923076923077	0.75	0.7322834645669292	0.19230769230769232	0.078125	0.11023622047244094	0.8461538461538461	0.734375	0.7559055118110236	0.171875	0.75	0.16535433070866143	0.7559055118110236
20	26	64	127	False	0.0	0.0625	0.03937007874015748	0.5384615384615384	0.5625	0.5433070866141733	0.0	0.0625	0.031496062992125984	0.038461538461538464	0.1875	0.16535433070866143	0.15384615384615385	0.171875	0.16535433070866143	0.46153846153846156	0.5	0.5196850393700787	0.07692307692307693	0.15625	0.11811023622047244	0.8461538461538461	0.703125	0.7322834645669292	0.038461538461538464	0.125	0.11023622047244094	0.7692307692307693	0.71875	0.7559055118110236	0.171875	0.71875	0.16535433070866143	0.7559055118110236
