seed	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.15384615384615385	0.09375	0.12598425196850394	0.07692307692307693	0.015625	0.023622047244094488	0.11538461538461539	0.078125	0.11023622047244094	0.07692307692307693	0.03125	0.03937007874015748	0.15384615384615385	0.078125	0.11023622047244094	0.038461538461538464	0.03125	0.031496062992125984	0.2692307692307692	0.1875	0.2283464566929134	0.07692307692307693	0.03125	0.047244094488188976	0.11538461538461539	0.046875	0.08661417322834646	0.03125	0.1875	0.047244094488188976	0.2283464566929134
2	26	64	127	False	0.038461538461538464	0.03125	0.03937007874015748	0.15384615384615385	0.109375	0.12598425196850394	0.07692307692307693	0.0	0.023622047244094488	0.15384615384615385	0.109375	0.11023622047244094	0.038461538461538464	0.03125	0.03937007874015748	0.15384615384615385	0.09375	0.11023622047244094	0.038461538461538464	0.015625	0.031496062992125984	0.19230769230769232	0.203125	0.2283464566929134	0.11538461538461539	0.03125	0.047244094488188976	0.15384615384615385	0.078125	0.08661417322834646	0.03125	0.203125	0.047244094488188976	0.2283464566929134
3	26	64	127	False	0.0	0.015625	0.03937007874015748	0.11538461538461539	0.078125	0.12598425196850394	0.0	0.015625	0.023622047244094488	0.07692307692307693	0.078125	0.11023622047244094	0.0	0.015625	0.03937007874015748	0.11538461538461539	0.078125	0.11023622047244094	0.0	0.015625	0.031496062992125984	0.15384615384615385	0.1875	0.2283464566929134	0.0	0.046875	0.047244094488188976	0.07692307692307693	0.046875	0.08661417322834646	0.046875	0.1875	0.047244094488188976	0.2283464566929134
4	26	64	127	False	0.0	0.03125	0.03937007874015748	0.07692307692307693	0.078125	0.12598425196850394	0.0	0.03125	0.023622047244094488	0.0	0.09375	0.11023622047244094	0.0	0.03125	0.03937007874015748	0.038461538461538464	0.0625	0.11023622047244094	0.0	0.03125	0.031496062992125984	0.15384615384615385	0.1875	0.2283464566929134	0.0	0.046875	0.047244094488188976	0.0	0.0625	0.08661417322834646	0.046875	0.1875	0.047244094488188976	0.2283464566929134
5	26	64	127	False	0.0	0.0625	0.03937007874015748	0.038461538461538464	0.171875	0.12598425196850394	0.0	0.046875	0.023622047244094488	0.038461538461538464	0.125	0.11023622047244094	0.0	0.0625	0.03937007874015748	0.0	0.15625	0.11023622047244094	0.0	0.046875	0.031496062992125984	0.19230769230769232	0.25	0.2283464566929134	0.0	0.078125	0.047244094488188976	0.0	0.109375	0.08661417322834646	0.078125	0.25	0.047244094488188976	0.2283464566929134
6	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.15384615384615385	0.109375	0.12598425196850394	0.038461538461538464	0.015625	0.023622047244094488	0.11538461538461539	0.109375	0.11023622047244094	0.038461538461538464	0.046875	0.03937007874015748	0.11538461538461539	0.09375	0.11023622047244094	0.038461538461538464	0.03125	0.031496062992125984	0.2692307692307692	0.171875	0.2283464566929134	0.07692307692307693	0.046875	0.047244094488188976	0.07692307692307693	0.078125	0.08661417322834646	0.046875	0.171875	0.047244094488188976	0.2283464566929134
7	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.11538461538461539	0.109375	0.12598425196850394	0.07692307692307693	0.015625	0.023622047244094488	0.11538461538461539	0.109375	0.11023622047244094	0.07692307692307693	0.03125	0.03937007874015748	0.11538461538461539	0.09375	0.11023622047244094	0.038461538461538464	0.03125	0.031496062992125984	0.19230769230769232	0.21875	0.2283464566929134	0.07692307692307693	0.046875	0.047244094488188976	0.11538461538461539	0.078125	0.08661417322834646	0.046875	0.21875	0.047244094488188976	0.2283464566929134
8	26	64	127	False	0.0	0.046875	0.03937007874015748	0.11538461538461539	0.125	0.12598425196850394	0.0	0.015625	0.023622047244094488	0.038461538461538464	0.140625	0.11023622047244094	0.0	0.046875	0.03937007874015748	0.07692307692307693	0.109375	0.11023622047244094	0.0	0.03125	0.031496062992125984	0.15384615384615385	0.1875	0.2283464566929134	0.0	0.046875	0.047244094488188976	0.038461538461538464	0.109375	0.08661417322834646	0.046875	0.1875	0.047244094488188976	0.2283464566929134
9	26	64	127	False	0.0	0.03125	0.03937007874015748	0.07692307692307693	0.125	0.12598425196850394	0.0	0.015625	0.023622047244094488	0.07692307692307693	0.09375	0.11023622047244094	0.0	0.03125	0.03937007874015748	0.07692307692307693	0.09375	0.11023622047244094	0.0	0.03125	0.031496062992125984	0.23076923076923078	0.265625	0.2283464566929134	0.038461538461538464	0.03125	0.047244094488188976	0.038461538461538464	0.0625	0.08661417322834646	0.03125	0.265625	0.047244094488188976	0.2283464566929134
10	26	64	127	False	0.0	0.03125	0.03937007874015748	0.15384615384615385	0.140625	0.12598425196850394	0.0	0.03125	0.023622047244094488	0.038461538461538464	0.140625	0.11023622047244094	0.0	0.03125	0.03937007874015748	0.11538461538461539	0.125	0.11023622047244094	0.0	0.03125	0.031496062992125984	0.19230769230769232	0.234375	0.2283464566929134	0.038461538461538464	0.0625	0.047244094488188976	0.038461538461538464	0.109375	0.08661417322834646	0.0625	0.234375	0.047244094488188976	0.2283464566929134
