model	subset	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.8306010928961749	0.8157894736842105	0.8223684210526315	0.8688524590163934	0.8442982456140351	0.8388157894736842	0.8415300546448087	0.8179824561403509	0.8256578947368421	0.8907103825136612	0.8552631578947368	0.8486842105263158	0.8306010928961749	0.8157894736842105	0.8256578947368421	0.8633879781420765	0.8442982456140351	0.8421052631578947	0.8415300546448087	0.8157894736842105	0.8256578947368421	0.8688524590163934	0.8442982456140351	0.8421052631578947	0.8415300546448087	0.8157894736842105	0.8223684210526315	0.8852459016393442	0.8508771929824562	0.8453947368421053	0.8179824561403509	0.8574561403508771	0.8256578947368421	0.8486842105263158
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.5	0.48	0.5	0.7999999999999999	0.68	0.7200000000000001	0.5	0.48	0.5	0.7666666666666666	0.7466666666666666	0.7600000000000001	0.5333333333333333	0.4666666666666666	0.5	0.7999999999999999	0.7200000000000001	0.7600000000000001	0.5333333333333333	0.4666666666666666	0.5	0.7999999999999999	0.7200000000000001	0.7600000000000001	0.5333333333333333	0.5333333333333333	0.54	0.7666666666666666	0.7866666666666666	0.7799999999999999	0.5333333333333333	0.7866666666666666	0.54	0.7799999999999999
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.4741379310344828	0.4532871972318339	0.46366782006920415	0.7097701149425287	0.7093425605536332	0.7058823529411765	0.47126436781609193	0.44752018454440606	0.4532871972318339	0.7011494252873564	0.7174163783160323	0.7110726643598616	0.4626436781609195	0.46136101499423304	0.4653979238754326	0.7040229885057472	0.7151095732410612	0.7110726643598616	0.47988505747126436	0.46366782006920415	0.4705882352941176	0.7097701149425287	0.7139561707035756	0.7110726643598616	0.47126436781609193	0.4671280276816609	0.4671280276816609	0.7040229885057472	0.7116493656286044	0.7076124567474048	0.4705882352941176	0.718569780853518	0.4705882352941176	0.7110726643598616
qwen3.5-9b	math500	32.0	79.0	157.0	0.0	0.4895833333333333	0.5485232067510548	0.4904458598726114	0.4895833333333333	0.5358649789029536	0.4904458598726114	0.5104166666666666	0.5232067510548523	0.48407643312101917	0.5208333333333334	0.5358649789029536	0.5031847133757962	0.5	0.5316455696202532	0.4777070063694267	0.5208333333333334	0.5485232067510548	0.5031847133757962	0.53125	0.5443037974683543	0.5095541401273885	0.5520833333333334	0.5400843881856541	0.5159235668789809	0.5104166666666666	0.5232067510548523	0.48407643312101917	0.53125	0.5316455696202532	0.5095541401273885	0.5527426160337553	0.5527426160337553	0.5095541401273885	0.5159235668789809
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	0.0	0.7192982456140351	0.6956521739130435	0.6956521739130435	0.7543859649122807	0.7898550724637682	0.7608695652173912	0.7017543859649122	0.7028985507246377	0.6956521739130435	0.7368421052631579	0.7898550724637682	0.7608695652173912	0.7017543859649122	0.6811594202898551	0.6847826086956522	0.7543859649122807	0.782608695652174	0.7608695652173912	0.6842105263157895	0.6956521739130435	0.6847826086956522	0.7368421052631579	0.7753623188405797	0.75	0.7192982456140351	0.7101449275362318	0.7065217391304349	0.7719298245614036	0.7898550724637682	0.7717391304347826	0.7101449275362318	0.8043478260869565	0.7065217391304349	0.7717391304347826
qwen3.5-9b	musique	63.0	156.0	312.0	0.0	0.49206349206349204	0.43162393162393164	0.44551282051282054	0.7407407407407408	0.7136752136752137	0.7115384615384616	0.4761904761904761	0.4423076923076923	0.4358974358974359	0.7301587301587302	0.7115384615384616	0.7051282051282052	0.48677248677248675	0.4444444444444444	0.44871794871794873	0.7301587301587302	0.7115384615384616	0.7147435897435898	0.4920634920634921	0.4465811965811966	0.44551282051282054	0.7513227513227513	0.7115384615384616	0.7147435897435898	0.4867724867724868	0.4358974358974359	0.44551282051282054	0.724867724867725	0.7158119658119658	0.7147435897435898	0.452991452991453	0.7264957264957266	0.44871794871794873	0.7147435897435898
qwen3.5-9b	wikimqa	147.0	367.0	733.0	0.0	0.46258503401360546	0.4341507720254314	0.44474761255115963	0.6689342403628119	0.6594005449591281	0.660300136425648	0.4444444444444444	0.42779291553133514	0.4324693042291951	0.6621315192743764	0.6603088101725704	0.6575716234652115	0.45124716553287986	0.4305177111716621	0.4379263301500682	0.671201814058957	0.6521344232515894	0.654843110504775	0.4603174603174603	0.444141689373297	0.4502046384720327	0.6643990929705215	0.6575840145322435	0.6575716234652115	0.4535147392290249	0.42597638510445046	0.43519781718963163	0.673469387755102	0.6530426884650318	0.6562073669849932	0.444141689373297	0.6603088101725704	0.4502046384720327	0.660300136425648
deepseek-8b	arc	61.0	152.0	304.0	0.0	0.8306010928961749	0.8092105263157895	0.8157894736842105	0.8633879781420765	0.8399122807017543	0.8355263157894738	0.8251366120218581	0.8048245614035087	0.8125	0.8688524590163934	0.8442982456140351	0.8388157894736842	0.8251366120218581	0.8070175438596491	0.8157894736842105	0.8633879781420765	0.837719298245614	0.8355263157894738	0.8306010928961749	0.8114035087719298	0.8223684210526315	0.8797814207650273	0.8486842105263158	0.8453947368421053	0.8251366120218581	0.8070175438596491	0.8157894736842105	0.8688524590163934	0.8442982456140351	0.8421052631578947	0.8114035087719298	0.8486842105263158	0.8223684210526315	0.8453947368421053
deepseek-8b	gaia	10.0	25.0	50.0	0.0	0.5333333333333333	0.4266666666666667	0.46	0.7000000000000001	0.7333333333333334	0.7200000000000001	0.6	0.41333333333333333	0.46	0.7000000000000001	0.7333333333333334	0.7200000000000001	0.6	0.45333333333333337	0.48	0.7666666666666667	0.7733333333333333	0.7600000000000001	0.6	0.4266666666666667	0.46	0.7333333333333334	0.7200000000000001	0.7200000000000001	0.5333333333333333	0.41333333333333333	0.44	0.7333333333333334	0.7066666666666667	0.7200000000000001	0.45333333333333337	0.7733333333333333	0.48	0.7600000000000001
deepseek-8b	hotpot	116.0	289.0	578.0	0.0	0.4166666666666667	0.40945790080738176	0.4134948096885813	0.6867816091954023	0.7151095732410612	0.7093425605536332	0.42241379310344823	0.4244521337946943	0.42560553633217996	0.6666666666666666	0.7128027681660901	0.7024221453287197	0.4310344827586207	0.4405997693194925	0.4359861591695502	0.6609195402298851	0.707035755478662	0.698961937716263	0.43390804597701155	0.42791234140715106	0.4273356401384083	0.6666666666666666	0.7116493656286044	0.7024221453287197	0.4195402298850575	0.411764705882353	0.4186851211072664	0.6724137931034483	0.7035755478662052	0.6955017301038063	0.4405997693194925	0.7185697808535179	0.4359861591695502	0.7093425605536332
