subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
arc	deepseek-8b	oat.s42	0.7917	0.8651	0.8103	0.8651	0.8036	0.8553	0.8133	0.8553	0.8158	0.8388	0.8651	0.8361	0.8553	0.8816	0.8947	0.9178	0.9243	0.7816	0.4253	304
arc	deepseek-8b	oat.s43	0.7917	0.8651	0.8103	0.8651	0.8047	0.8520	0.8140	0.8520	0.8125	0.8388	0.8651	0.8344	0.8487	0.8717	0.8849	0.9112	0.9178	0.8110	0.4630	304
arc	deepseek-8b	oat.s44	0.7917	0.8651	0.8103	0.8651	0.8084	0.8520	0.8169	0.8520	0.8158	0.8355	0.8651	0.8355	0.8586	0.8816	0.8947	0.9178	0.9211	0.7665	0.4096	304
arc	deepseek-8b	oat.s45	0.7928	0.8684	0.8120	0.8684	0.8148	0.8553	0.8231	0.8553	0.8224	0.8388	0.8684	0.8405	0.8618	0.8849	0.8980	0.9211	0.9276	0.8053	0.4554	304
arc	deepseek-8b	oat.s46	0.7906	0.8618	0.8087	0.8618	0.8048	0.8520	0.8135	0.8520	0.8158	0.8421	0.8618	0.8355	0.8553	0.8849	0.8980	0.9243	0.9276	0.7796	0.4191	304
arc	deepseek-8b	stepfinder.s42	0.4128	0.8618	0.5565	0.8618					0.7368	0.8224	0.8618	0.7928	0.8651	0.9178	0.9441	0.9539	0.9638	0.8926	0.8337	304
arc	deepseek-8b	stepfinder.s43	0.4161	0.8717	0.5614	0.8717					0.4868	0.8257	0.8717	0.6716	0.8750	0.9112	0.9309	0.9441	0.9671	0.8509	0.5212	304
arc	deepseek-8b	stepfinder.s44	0.4008	0.8257	0.5384	0.8257					0.6546	0.8125	0.8257	0.7379	0.8092	0.9079	0.9145	0.9605	0.9704	0.8541	0.7811	304
arc	deepseek-8b	stepfinder.s45	0.4019	0.8289	0.5400	0.8289					0.6250	0.8059	0.8289	0.7231	0.8224	0.8849	0.9375	0.9474	0.9671	0.8610	0.7705	304
arc	deepseek-8b	stepfinder.s46	0.4019	0.8289	0.5400	0.8289					0.6678	0.7993	0.8289	0.7434	0.8421	0.8914	0.9178	0.9309	0.9441	0.8662	0.7900	304
