model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	arc	stepfinder.e1	PARTIAL(213/304)	213	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.e2	PARTIAL(213/304)	213	304	0	0
qwen3-embedding-0.6b	arc	stepfinder.e3	PARTIAL(213/304)	213	304	0	0
qwen3-embedding-0.6b	gaia	stepfinder.e1	PARTIAL(35/50)	35	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.e2	PARTIAL(35/50)	35	50	0	0
qwen3-embedding-0.6b	gaia	stepfinder.e3	PARTIAL(35/50)	35	50	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.e1	PARTIAL(405/578)	405	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.e2	PARTIAL(405/578)	405	578	0	0
qwen3-embedding-0.6b	hotpot	stepfinder.e3	PARTIAL(405/578)	405	578	0	0
qwen3-embedding-0.6b	math500	stepfinder.e1	PARTIAL(111/157)	111	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.e2	PARTIAL(111/157)	111	157	0	0
qwen3-embedding-0.6b	math500	stepfinder.e3	PARTIAL(111/157)	111	157	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.e1	PARTIAL(65/92)	65	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.e2	PARTIAL(65/92)	65	92	0	0
qwen3-embedding-0.6b	mmlu_pro	stepfinder.e3	PARTIAL(65/92)	65	92	0	0
qwen3-embedding-0.6b	musique	stepfinder.e1	PARTIAL(219/312)	219	312	0	0
qwen3-embedding-0.6b	musique	stepfinder.e2	PARTIAL(219/312)	219	312	0	0
qwen3-embedding-0.6b	musique	stepfinder.e3	PARTIAL(219/312)	219	312	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder.e1	PARTIAL(514/733)	514	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder.e2	PARTIAL(514/733)	514	733	0	0
qwen3-embedding-0.6b	wikimqa	stepfinder.e3	PARTIAL(514/733)	514	733	0	0
qwen3.5-9b	arc	stepfinder.e1	MISSING	0	304	0	0
qwen3.5-9b	arc	stepfinder.e2	MISSING	0	304	0	0
qwen3.5-9b	arc	stepfinder.e3	MISSING	0	304	0	0
qwen3.5-9b	gaia	stepfinder.e1	MISSING	0	50	0	0
qwen3.5-9b	gaia	stepfinder.e2	MISSING	0	50	0	0
qwen3.5-9b	gaia	stepfinder.e3	MISSING	0	50	0	0
qwen3.5-9b	hotpot	stepfinder.e1	MISSING	0	578	0	0
qwen3.5-9b	hotpot	stepfinder.e2	MISSING	0	578	0	0
qwen3.5-9b	hotpot	stepfinder.e3	MISSING	0	578	0	0
qwen3.5-9b	math500	stepfinder.e1	MISSING	0	157	0	0
qwen3.5-9b	math500	stepfinder.e2	MISSING	0	157	0	0
qwen3.5-9b	math500	stepfinder.e3	MISSING	0	157	0	0
qwen3.5-9b	mmlu_pro	stepfinder.e1	MISSING	0	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder.e2	MISSING	0	92	0	0
qwen3.5-9b	mmlu_pro	stepfinder.e3	MISSING	0	92	0	0
qwen3.5-9b	musique	stepfinder.e1	MISSING	0	312	0	0
qwen3.5-9b	musique	stepfinder.e2	MISSING	0	312	0	0
qwen3.5-9b	musique	stepfinder.e3	MISSING	0	312	0	0
qwen3.5-9b	wikimqa	stepfinder.e1	MISSING	0	733	0	0
qwen3.5-9b	wikimqa	stepfinder.e2	MISSING	0	733	0	0
qwen3.5-9b	wikimqa	stepfinder.e3	MISSING	0	733	0	0
deepseek-8b	arc	stepfinder.e1	MISSING	0	304	0	0
deepseek-8b	arc	stepfinder.e2	MISSING	0	304	0	0
deepseek-8b	arc	stepfinder.e3	MISSING	0	304	0	0
deepseek-8b	gaia	stepfinder.e1	MISSING	0	50	0	0
deepseek-8b	gaia	stepfinder.e2	MISSING	0	50	0	0
deepseek-8b	gaia	stepfinder.e3	MISSING	0	50	0	0
deepseek-8b	hotpot	stepfinder.e1	MISSING	0	578	0	0
deepseek-8b	hotpot	stepfinder.e2	MISSING	0	578	0	0
deepseek-8b	hotpot	stepfinder.e3	MISSING	0	578	0	0
deepseek-8b	math500	stepfinder.e1	MISSING	0	157	0	0
deepseek-8b	math500	stepfinder.e2	MISSING	0	157	0	0
deepseek-8b	math500	stepfinder.e3	MISSING	0	157	0	0
deepseek-8b	mmlu_pro	stepfinder.e1	MISSING	0	92	0	0
deepseek-8b	mmlu_pro	stepfinder.e2	MISSING	0	92	0	0
deepseek-8b	mmlu_pro	stepfinder.e3	MISSING	0	92	0	0
deepseek-8b	musique	stepfinder.e1	MISSING	0	312	0	0
deepseek-8b	musique	stepfinder.e2	MISSING	0	312	0	0
deepseek-8b	musique	stepfinder.e3	MISSING	0	312	0	0
deepseek-8b	wikimqa	stepfinder.e1	MISSING	0	733	0	0
deepseek-8b	wikimqa	stepfinder.e2	MISSING	0	733	0	0
deepseek-8b	wikimqa	stepfinder.e3	MISSING	0	733	0	0
