model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.5628415300546449	0.5	0.5197368421052632	0.6939890710382514	0.6140350877192983	0.625	0.6065573770491803	0.6140350877192983	0.6118421052631579	0.7431693989071038	0.7149122807017544	0.7105263157894738	0.6557377049180327	0.6030701754385964	0.6085526315789473	0.7540983606557377	0.6973684210526315	0.6809210526315791	0.6612021857923497	0.6228070175438596	0.6447368421052632	0.7868852459016393	0.7258771929824562	0.7335526315789473	0.5956284153005466	0.6425438596491229	0.6381578947368421	0.721311475409836	0.7280701754385964	0.7203947368421053	0.6425438596491229	0.7302631578947368	0.6447368421052632	0.7335526315789473
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.32	0.36000000000000004	0.7000000000000001	0.6133333333333334	0.64	0.3666666666666667	0.22666666666666666	0.28	0.5333333333333333	0.5866666666666668	0.6	0.39999999999999997	0.36000000000000004	0.38000000000000006	0.6333333333333333	0.6000000000000001	0.62	0.3666666666666667	0.32	0.32	0.6	0.5866666666666668	0.6	0.3333333333333333	0.26666666666666666	0.3	0.6666666666666666	0.6133333333333334	0.64	0.36000000000000004	0.6133333333333334	0.38000000000000006	0.64
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.28160919540229884	0.30680507497116494	0.31314878892733566	0.7126436781609194	0.7162629757785467	0.7093425605536332	0.20689655172413793	0.2191464821222607	0.2214532871972318	0.6695402298850576	0.6470588235294118	0.6557093425605537	0.2873563218390805	0.3471741637831603	0.3339100346020761	0.6637931034482759	0.6908881199538639	0.676470588235294	0.22413793103448276	0.26528258362168394	0.2647058823529412	0.6695402298850576	0.6793540945790081	0.6730103806228374	0.3074712643678161	0.3298731257208766	0.3373702422145329	0.7011494252873564	0.6989619377162629	0.7024221453287197	0.3471741637831603	0.720876585928489	0.3373702422145329	0.7093425605536332
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.20833333333333334	0.19831223628691985	0.17834394904458598	0.4166666666666667	0.3881856540084388	0.3821656050955415	0.4583333333333333	0.4177215189873418	0.3821656050955415	0.5208333333333334	0.5443037974683543	0.5095541401273885	0.3958333333333333	0.38396624472573837	0.35668789808917195	0.4583333333333333	0.459915611814346	0.43949044585987257	0.4791666666666667	0.46413502109704646	0.41401273885350315	0.59375	0.6329113924050632	0.5859872611464968	0.3854166666666667	0.40928270042194087	0.3821656050955415	0.3958333333333333	0.5232067510548523	0.464968152866242	0.46413502109704646	0.6329113924050632	0.41401273885350315	0.5859872611464968
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.2807017543859649	0.24637681159420288	0.25	0.4385964912280702	0.48550724637681153	0.45652173913043476	0.31578947368421056	0.3115942028985507	0.30434782608695654	0.43859649122807015	0.5362318840579711	0.5	0.3859649122807018	0.44202898550724634	0.43478260869565216	0.5263157894736842	0.7173913043478262	0.6630434782608695	0.5614035087719298	0.43478260869565216	0.4673913043478261	0.6666666666666666	0.6449275362318841	0.6413043478260869	0.456140350877193	0.5217391304347826	0.5	0.543859649122807	0.7028985507246377	0.6413043478260869	0.5217391304347826	0.7246376811594203	0.5	0.6630434782608695
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.2698412698412698	0.27136752136752135	0.25961538461538464	0.693121693121693	0.6987179487179488	0.6923076923076922	0.2222222222222222	0.21794871794871795	0.20833333333333334	0.6507936507936508	0.6623931623931624	0.6602564102564102	0.2751322751322751	0.25427350427350426	0.2564102564102564	0.7037037037037037	0.6260683760683761	0.657051282051282	0.21164021164021163	0.22222222222222224	0.21474358974358973	0.6455026455026455	0.6688034188034188	0.6634615384615384	0.22751322751322753	0.2777777777777778	0.2532051282051282	0.693121693121693	0.6773504273504273	0.6698717948717948	0.2777777777777778	0.7008547008547009	0.25961538461538464	0.6923076923076922
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.2380952380952381	0.22434150772025432	0.22919508867667124	0.691609977324263	0.6530426884650318	0.6712141882673942	0.15419501133786848	0.13533151680290645	0.13369713506139155	0.6598639455782312	0.6403269754768391	0.6398362892223738	0.30385487528344673	0.28973660308810173	0.29740791268758526	0.6757369614512472	0.631244323342416	0.6466575716234653	0.18140589569160995	0.16167120799273388	0.165075034106412	0.6780045351473922	0.6693914623069936	0.6725784447476125	0.2222222222222222	0.20345140781108084	0.20600272851296045	0.7188208616780045	0.664850136239782	0.6862210095497954	0.28973660308810173	0.6693914623069936	0.29740791268758526	0.6862210095497954
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.633879781420765	0.6359649122807017	0.6447368421052632	0.7103825136612022	0.7105263157894738	0.7138157894736842	0.7486338797814208	0.7368421052631579	0.7434210526315791	0.8251366120218578	0.8135964912280702	0.8092105263157895	0.7978142076502732	0.7828947368421053	0.7927631578947368	0.8469945355191256	0.8421052631578947	0.8388157894736842	0.5355191256830601	0.5394736842105262	0.5493421052631579	0.628415300546448	0.6206140350877193	0.6282894736842105	0.7814207650273225	0.7828947368421053	0.7894736842105262	0.8469945355191256	0.8421052631578947	0.8453947368421053	0.7828947368421053	0.8486842105263158	0.7927631578947368	0.8453947368421053
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.3333333333333333	0.34	0.9	0.7333333333333334	0.7799999999999999	0.4000000000000001	0.32	0.32	0.8333333333333334	0.68	0.7399999999999999	0.4666666666666666	0.4266666666666667	0.42	0.7999999999999999	0.6533333333333333	0.6999999999999998	0.4666666666666666	0.36000000000000004	0.36000000000000004	0.7666666666666666	0.6533333333333333	0.68	0.5	0.41333333333333333	0.44	0.7666666666666666	0.64	0.6999999999999998	0.44	0.7333333333333334	0.44	0.7799999999999999
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.21551724137931036	0.2364475201845444	0.2301038062283737	0.603448275862069	0.5836216839677046	0.5916955017301038	0.16379310344827586	0.1591695501730104	0.16782006920415224	0.6206896551724138	0.5836216839677048	0.5951557093425606	0.2586206896551724	0.26412918108419836	0.2629757785467128	0.67816091954023	0.6482122260668973	0.6522491349480969	0.23563218390804597	0.24221453287197234	0.23875432525951557	0.6839080459770116	0.6539792387543253	0.6608996539792388	0.3132183908045977	0.3229527104959631	0.3166089965397924	0.6436781609195402	0.629757785467128	0.6349480968858131	0.3229527104959631	0.6597462514417533	0.3166089965397924	0.6608996539792388
