model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.2786885245901639	0.22587719298245612	0.24342105263157895	0.39344262295081966	0.32894736842105265	0.34539473684210525	0.04371584699453552	0.03070175438596491	0.03618421052631579	0.10928961748633881	0.09210526315789473	0.08881578947368422	0.03825136612021858	0.017543859649122806	0.019736842105263157	0.14754098360655735	0.11842105263157894	0.12171052631578948	0.03825136612021858	0.041666666666666664	0.04276315789473684	0.07650273224043716	0.07236842105263158	0.0756578947368421	0.02185792349726776	0.02631578947368421	0.023026315789473683	0.13114754098360656	0.1074561403508772	0.10526315789473684	0.22587719298245612	0.32894736842105265	0.24342105263157895	0.34539473684210525
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.3333333333333333	0.24	0.26	0.5666666666666668	0.5333333333333333	0.56	0.0	0.0	0.0	0.3	0.28	0.28	0.06666666666666667	0.08	0.06	0.2333333333333333	0.30666666666666664	0.26	0.03333333333333333	0.02666666666666667	0.02	0.2333333333333333	0.26666666666666666	0.26	0.06666666666666667	0.05333333333333334	0.04	0.4666666666666666	0.5066666666666667	0.44	0.24	0.5466666666666667	0.26	0.56
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.17816091954022992	0.1845444059976932	0.17993079584775087	0.6695402298850576	0.6782006920415226	0.6591695501730104	0.08908045977011496	0.06805074971164936	0.07785467128027682	0.49137931034482757	0.44752018454440595	0.4567474048442907	0.10057471264367816	0.09457900807381776	0.09688581314878893	0.47988505747126436	0.4567474048442907	0.46366782006920415	0.05459770114942528	0.057670126874279116	0.053633217993079595	0.27011494252873564	0.2168396770472895	0.2231833910034602	0.10344827586206896	0.08765859284890426	0.09342560553633218	0.41954022988505746	0.37254901960784315	0.38581314878892736	0.1845444059976932	0.6782006920415226	0.17993079584775087	0.6591695501730104
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.16666666666666666	0.1856540084388186	0.17197452229299362	0.2708333333333333	0.29957805907173	0.2929936305732484	0.020833333333333332	0.021097046413502112	0.02547770700636943	0.14583333333333334	0.0970464135021097	0.14012738853503184	0.07291666666666667	0.05485232067510549	0.05732484076433122	0.20833333333333334	0.19831223628691985	0.2101910828025478	0.07291666666666667	0.02531645569620253	0.03821656050955414	0.11458333333333333	0.0970464135021097	0.10828025477707008	0.125	0.0759493670886076	0.09554140127388537	0.20833333333333334	0.20253164556962022	0.2101910828025478	0.1856540084388186	0.29957805907173	0.17197452229299362	0.2929936305732484
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.12280701754385964	0.21014492753623185	0.1956521739130435	0.2982456140350877	0.3913043478260869	0.3695652173913044	0.05263157894736842	0.043478260869565216	0.05434782608695652	0.12280701754385964	0.09420289855072465	0.09782608695652174	0.08771929824561403	0.028985507246376812	0.043478260869565216	0.14035087719298245	0.13768115942028986	0.13043478260869565	0.05263157894736842	0.050724637681159424	0.043478260869565216	0.12280701754385964	0.09420289855072463	0.09782608695652174	0.10526315789473684	0.043478260869565216	0.05434782608695652	0.12280701754385964	0.18115942028985507	0.15217391304347827	0.21014492753623185	0.3913043478260869	0.1956521739130435	0.3695652173913044
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.13227513227513227	0.1581196581196581	0.14423076923076922	0.634920634920635	0.673076923076923	0.6762820512820514	0.06878306878306878	0.09829059829059829	0.08974358974358974	0.4761904761904761	0.4615384615384615	0.4711538461538461	0.05291005291005291	0.1111111111111111	0.09294871794871795	0.43915343915343913	0.4850427350427351	0.4551282051282051	0.042328042328042326	0.0811965811965812	0.07051282051282051	0.25396825396825395	0.22435897435897437	0.23397435897435895	0.08465608465608465	0.10042735042735042	0.10256410256410257	0.39682539682539675	0.46367521367521364	0.4326923076923077	0.1581196581196581	0.673076923076923	0.14423076923076922	0.6762820512820514
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.12471655328798185	0.11080835603996365	0.11596180081855388	0.671201814058957	0.6412352406902816	0.6575716234652115	0.049886621315192746	0.04904632152588556	0.04638472032742155	0.5124716553287981	0.49227974568574023	0.49386084583901774	0.07482993197278913	0.07356948228882836	0.06957708049113233	0.48526077097505665	0.4868301544050863	0.47612551159618005	0.04081632653061225	0.04813805631244323	0.04502046384720328	0.31065759637188206	0.2915531335149864	0.2946793997271487	0.05215419501133786	0.06630336058128973	0.06275579809004093	0.37188208616780044	0.4150772025431426	0.3956343792633015	0.11080835603996365	0.6412352406902816	0.11596180081855388	0.6575716234652115
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.01639344262295082	0.02631578947368421	0.02631578947368421	0.16393442622950818	0.14473684210526316	0.13486842105263158	0.03278688524590164	0.02631578947368421	0.023026315789473683	0.12021857923497269	0.13157894736842105	0.11842105263157894	0.5846994535519126	0.6184210526315789	0.6282894736842105	0.7049180327868853	0.7039473684210527	0.7105263157894738	0.28961748633879775	0.31798245614035087	0.3223684210526316	0.453551912568306	0.43640350877192985	0.44078947368421045	0.4426229508196721	0.5087719298245614	0.4934210526315789	0.5683060109289618	0.6074561403508772	0.5888157894736842	0.6184210526315789	0.7039473684210527	0.6282894736842105	0.7105263157894738
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.26666666666666666	0.32	0.03333333333333333	0.02666666666666667	0.02	0.4000000000000001	0.3866666666666667	0.4000000000000001	0.3333333333333333	0.3333333333333333	0.32	0.8000000000000002	0.64	0.6999999999999998	0.3	0.25333333333333335	0.26	0.5666666666666668	0.4666666666666666	0.5	0.43333333333333335	0.32	0.32	0.6666666666666666	0.6133333333333334	0.62	0.36000000000000004	0.64	0.32	0.6999999999999998
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.031609195402298854	0.040369088811995385	0.03633217993079585	0.5890804597701149	0.5767012687427912	0.5709342560553633	0.07183908045977011	0.104959630911188	0.08477508650519032	0.5229885057471265	0.49365628604382933	0.4913494809688581	0.25862068965517243	0.25836216839677045	0.2560553633217993	0.6695402298850576	0.6678200692041522	0.6695501730103807	0.1810344827586207	0.17993079584775087	0.17128027681660898	0.6954022988505747	0.6920415224913494	0.6799307958477508	0.22988505747126434	0.24798154555940025	0.2370242214532872	0.6637931034482759	0.6805074971164936	0.676470588235294	0.25836216839677045	0.6955017301038063	0.2560553633217993	0.6799307958477508
qwen3.5-9b	math500	32.0	79.0	157.0	0.0	0.03125	0.008438818565400843	0.01910828025477707	0.21875	0.23206751054852323	0.24203821656050958	0.052083333333333336	0.05907172995780591	0.044585987261146494	0.21875	0.20253164556962022	0.1974522292993631	0.4270833333333333	0.510548523206751	0.47133757961783446	0.5520833333333334	0.5611814345991561	0.535031847133758	0.22916666666666666	0.18565400843881855	0.21656050955414016	0.3541666666666667	0.25316455696202533	0.3057324840764331	0.40625	0.46413502109704635	0.4331210191082803	0.5104166666666666	0.5358649789029536	0.5095541401273885	0.510548523206751	0.5611814345991561	0.47133757961783446	0.535031847133758
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	0.0	0.08771929824561403	0.07246376811594203	0.06521739130434782	0.22807017543859645	0.2318840579710145	0.21739130434782608	0.03508771929824561	0.021739130434782608	0.021739130434782608	0.17543859649122806	0.17391304347826086	0.15217391304347827	0.49122807017543857	0.48550724637681153	0.5	0.6842105263157894	0.7028985507246377	0.6847826086956522	0.21052631578947367	0.21739130434782608	0.21739130434782608	0.3859649122807018	0.4275362318840579	0.40217391304347827	0.49122807017543857	0.43478260869565216	0.44565217391304346	0.6315789473684211	0.6086956521739131	0.6086956521739131	0.48550724637681153	0.7028985507246377	0.5	0.6847826086956522
qwen3.5-9b	musique	63.0	156.0	312.0	0.0	0.047619047619047616	0.06196581196581197	0.05769230769230769	0.6190476190476191	0.5918803418803419	0.592948717948718	0.0582010582010582	0.05555555555555556	0.05128205128205129	0.4761904761904761	0.452991452991453	0.4519230769230769	0.26455026455026454	0.18376068376068377	0.1987179487179487	0.6455026455026456	0.5982905982905983	0.6121794871794872	0.20105820105820105	0.14743589743589744	0.15064102564102563	0.746031746031746	0.6666666666666666	0.6858974358974358	0.28571428571428564	0.22008547008547008	0.23076923076923075	0.6349206349206349	0.6004273504273504	0.5993589743589743	0.22008547008547008	0.6666666666666666	0.23076923076923075	0.6858974358974358
qwen3.5-9b	wikimqa	147.0	367.0	733.0	0.0	0.03854875283446712	0.03814713896457766	0.03819918144611187	0.7006802721088435	0.6557674841053588	0.6725784447476125	0.04308390022675737	0.05812897366030881	0.05184174624829468	0.5895691609977324	0.6185286103542235	0.6098226466575716	0.15873015873015875	0.1625794732061762	0.15961800818553887	0.7369614512471655	0.7157129881925522	0.7080491132332879	0.09523809523809523	0.10990009082652134	0.10504774897680765	0.7278911564625851	0.6857402361489555	0.6957708049113234	0.19047619047619047	0.18165304268846505	0.17871759890859482	0.7233560090702947	0.7057220708446866	0.7025920873124147	0.18165304268846505	0.7238873751135332	0.17871759890859482	0.7080491132332879
