model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	magentic	18.0	46.0	91.0	0.0	0.1583333333333333	0.1673913043478261	0.1648351648351648	0.7722222222222224	0.7826086956521741	0.7802197802197803	0.05277777777777778	0.0576086956521739	0.05494505494505495	0.611111111111111	0.6076086956521739	0.6043956043956042	0.06944444444444445	0.06521739130434781	0.06593406593406594	0.5666666666666667	0.5967391304347827	0.5824175824175823	0.09166666666666667	0.06956521739130436	0.07692307692307691	0.636111111111111	0.6706521739130434	0.6593406593406592	0.008333333333333333	0.014130434782608694	0.010989010989010988	0.3277777777777778	0.35108695652173916	0.3406593406593406	0.1673913043478261	0.7826086956521741	0.1648351648351648	0.7802197802197803
qwen3-embedding-0.6b	captain	17.0	43.0	85.0	0.0	0.11470588235294114	0.13720930232558137	0.12941176470588237	0.3911764705882353	0.37558139534883717	0.3764705882352942	0.07647058823529411	0.08372093023255814	0.08235294117647057	0.5323529411764706	0.5232558139534884	0.5176470588235295	0.14411764705882352	0.15581395348837207	0.15294117647058822	0.5	0.46511627906976755	0.47058823529411764	0.10882352941176468	0.1569767441860465	0.1411764705882353	0.3470588235294117	0.3686046511627906	0.3647058823529411	0.11176470588235292	0.13023255813953485	0.12941176470588237	0.438235294117647	0.4616279069767442	0.4470588235294118	0.17790697674418604	0.5337209302325582	0.15294117647058822	0.5176470588235295
qwen3-embedding-0.6b	swe	9.0	22.0	44.0	0.0	0.18333333333333335	0.1977272727272727	0.1818181818181818	0.5444444444444444	0.5795454545454545	0.5681818181818182	0.09444444444444444	0.08636363636363635	0.0909090909090909	0.6166666666666667	0.625	0.6363636363636365	0.1888888888888889	0.18409090909090906	0.1818181818181818	0.5611111111111111	0.5659090909090909	0.5681818181818182	0.09444444444444444	0.08863636363636362	0.0909090909090909	0.5222222222222223	0.5295454545454545	0.5454545454545453	0.03333333333333334	0.022727272727272728	0.022727272727272724	0.7555555555555555	0.7636363636363637	0.7727272727272728	0.2159090909090909	0.7636363636363637	0.1818181818181818	0.7727272727272728
qwen3.5-9b	magentic	18.0	46.0	91.0	0.0	0.061111111111111116	0.05217391304347826	0.05494505494505495	0.6277777777777778	0.6260869565217392	0.6263736263736263	0.09722222222222224	0.09782608695652174	0.09890109890109891	0.586111111111111	0.5978260869565218	0.5934065934065933	0.08055555555555557	0.08260869565217391	0.0879120879120879	0.7027777777777777	0.7173913043478259	0.7142857142857142	0.06666666666666667	0.09021739130434783	0.0879120879120879	0.6277777777777777	0.6619565217391304	0.6483516483516483	0.07777777777777779	0.06304347826086958	0.07692307692307691	0.6333333333333334	0.6521739130434783	0.6483516483516483	0.1108695652173913	0.7206521739130435	0.09890109890109891	0.7142857142857142
qwen3.5-9b	captain	17.0	43.0	85.0	0.0	0.2205882352941176	0.23837209302325585	0.23529411764705882	0.46470588235294114	0.4720930232558141	0.47058823529411764	0.2	0.18604651162790697	0.1882352941176471	0.5823529411764705	0.5813953488372092	0.5764705882352941	0.14705882352941177	0.16860465116279066	0.16470588235294115	0.5235294117647059	0.5279069767441861	0.5294117647058824	0.13529411764705881	0.14302325581395348	0.1411764705882353	0.45294117647058824	0.4279069767441861	0.4352941176470589	0.17941176470588233	0.2197674418604651	0.21176470588235294	0.49411764705882355	0.49302325581395345	0.49411764705882355	0.25116279069767444	0.583720930232558	0.23529411764705882	0.5764705882352941
qwen3.5-9b	swe	9.0	22.0	44.0	0.0	0.14444444444444446	0.1545454545454545	0.15909090909090912	0.6277777777777778	0.6454545454545455	0.659090909090909	0.13333333333333336	0.1409090909090909	0.13636363636363633	0.55	0.5522727272727272	0.5681818181818182	0.11111111111111112	0.12272727272727271	0.11363636363636365	0.7055555555555555	0.775	0.7727272727272728	0.1277777777777778	0.1386363636363636	0.13636363636363633	0.6833333333333332	0.6704545454545454	0.6818181818181818	0.16111111111111112	0.18863636363636363	0.1818181818181818	0.7222222222222223	0.7727272727272727	0.7727272727272728	0.20227272727272724	0.7863636363636364	0.1818181818181818	0.7727272727272728
deepseek-8b	magentic	18.0	46.0	91.0	0.0	0.025	0.03152173913043478	0.03296703296703297	0.5305555555555556	0.55	0.5494505494505495	0.030555555555555558	0.04021739130434782	0.03296703296703297	0.38333333333333336	0.3804347826086956	0.37362637362637374	0.01111111111111111	0.010869565217391302	0.010989010989010988	0.3583333333333333	0.33586956521739136	0.3406593406593406	0.04722222222222222	0.07391304347826086	0.06593406593406594	0.6027777777777776	0.6304347826086957	0.6263736263736263	0.02777777777777778	0.03478260869565217	0.03296703296703297	0.6777777777777778	0.6782608695652174	0.6703296703296702	0.07391304347826086	0.682608695652174	0.06593406593406594	0.6703296703296702
deepseek-8b	captain	17.0	43.0	85.0	0.0	0.22647058823529406	0.20813953488372094	0.21176470588235294	0.6088235294117647	0.5895348837209301	0.588235294117647	0.06764705882352941	0.05232558139534884	0.058823529411764705	0.40294117647058825	0.43255813953488376	0.4235294117647059	0.19999999999999996	0.20930232558139536	0.21176470588235294	0.5499999999999999	0.569767441860465	0.5647058823529412	0.09117647058823529	0.09767441860465116	0.10588235294117647	0.3470588235294117	0.3430232558139535	0.3529411764705882	0.07941176470588235	0.0941860465116279	0.09411764705882356	0.5705882352941176	0.4872093023255813	0.5058823529411764	0.2337209302325582	0.6034883720930231	0.21176470588235294	0.588235294117647
deepseek-8b	swe	9.0	22.0	44.0	0.0	0.11111111111111112	0.13181818181818178	0.13636363636363633	0.5722222222222223	0.5022727272727272	0.5227272727272728	0.005555555555555555	0.02954545454545454	0.022727272727272724	0.6166666666666667	0.615909090909091	0.6363636363636365	0.06666666666666668	0.12272727272727271	0.11363636363636365	0.5222222222222223	0.5250000000000001	0.5227272727272728	0.04444444444444444	0.031818181818181815	0.04545454545454545	0.5777777777777777	0.5954545454545455	0.590909090909091	0.08333333333333334	0.0977272727272727	0.0909090909090909	0.5166666666666667	0.5136363636363637	0.5227272727272728	0.14999999999999997	0.6454545454545454	0.13636363636363633	0.6363636363636365
qwen3.5-4b	magentic	18.0	46.0	91.0	0.0	0.0	0.0	0.0	0.3916666666666667	0.4108695652173913	0.40659340659340665	0.08055555555555556	0.07065217391304349	0.06593406593406594	0.6805555555555556	0.6934782608695653	0.6923076923076922	0.03333333333333334	0.033695652173913036	0.03296703296703297	0.6222222222222221	0.6586956521739131	0.6483516483516483	0.0638888888888889	0.05869565217391305	0.05494505494505495	0.675	0.6793478260869564	0.6703296703296702	0.08333333333333334	0.09021739130434783	0.0879120879120879	0.7083333333333333	0.7282608695652173	0.7142857142857142	0.0967391304347826	0.7369565217391304	0.0879120879120879	0.7142857142857142
