model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	magentic	18.0	46.0	91.0	0.0	0.17777777777777776	0.15217391304347824	0.15384615384615383	0.7777777777777777	0.8097826086956521	0.7912087912087913	0.036111111111111115	0.056521739130434775	0.05494505494505495	0.48611111111111116	0.46739130434782605	0.4725274725274725	0.02222222222222222	0.034782608695652174	0.03296703296703297	0.6111111111111112	0.6293478260869567	0.6153846153846153	0.02222222222222222	0.032608695652173905	0.03296703296703297	0.475	0.4347826086956522	0.4395604395604396	0.01944444444444444	0.022826086956521736	0.021978021978021976	0.45555555555555555	0.4771739130434782	0.46153846153846156	0.1532608695652174	0.8097826086956521	0.15384615384615383	0.7912087912087913
qwen3-embedding-0.6b	captain	17.0	43.0	85.0	0.0	0.21470588235294114	0.21744186046511632	0.21176470588235294	0.4352941176470588	0.45813953488372106	0.4352941176470589	0.1088235294117647	0.13720930232558137	0.12941176470588237	0.5323529411764706	0.5720930232558138	0.5529411764705883	0.17058823529411762	0.2	0.1882352941176471	0.6205882352941176	0.6441860465116278	0.6352941176470587	0.11764705882352941	0.16395348837209303	0.15294117647058822	0.5176470588235296	0.5802325581395347	0.5529411764705883	0.13529411764705884	0.1697674418604651	0.16470588235294115	0.44117647058823534	0.4616279069767442	0.4588235294117647	0.23139534883720936	0.6441860465116278	0.21176470588235294	0.6352941176470587
qwen3-embedding-0.6b	swe	9.0	22.0	44.0	0.0	0.09444444444444444	0.10454545454545454	0.0909090909090909	0.45	0.4704545454545454	0.4772727272727272	0.06666666666666668	0.10227272727272725	0.0909090909090909	0.5	0.5431818181818182	0.5454545454545453	0.061111111111111116	0.06818181818181816	0.06818181818181816	0.5777777777777778	0.6295454545454545	0.6136363636363635	0.055555555555555546	0.0409090909090909	0.04545454545454545	0.6944444444444444	0.7204545454545455	0.7272727272727272	0.11666666666666667	0.10681818181818178	0.11363636363636365	0.5166666666666667	0.5295454545454544	0.5454545454545453	0.12727272727272726	0.7250000000000001	0.11363636363636365	0.7272727272727272
qwen3.5-9b	magentic	18.0	46.0	91.0	0.0	0.01666666666666667	0.021739130434782605	0.021978021978021976	0.4916666666666666	0.48478260869565226	0.4945054945054945	0.07777777777777778	0.07608695652173914	0.07692307692307691	0.6944444444444442	0.7293478260869566	0.7142857142857142	0.061111111111111116	0.07934782608695654	0.07692307692307691	0.5388888888888889	0.5673913043478261	0.5494505494505495	0.05555555555555556	0.059782608695652176	0.06593406593406594	0.5333333333333333	0.5347826086956522	0.5384615384615384	0.05	0.06739130434782609	0.06593406593406594	0.49722222222222223	0.541304347826087	0.5164835164835165	0.09565217391304347	0.7293478260869566	0.07692307692307691	0.7142857142857142
qwen3.5-9b	captain	17.0	43.0	85.0	0.0	0.16176470588235292	0.16395348837209303	0.16470588235294115	0.4911764705882353	0.48139534883720947	0.48235294117647054	0.09705882352941177	0.09999999999999998	0.09411764705882356	0.30000000000000004	0.29534883720930233	0.2941176470588235	0.06764705882352941	0.09186046511627907	0.08235294117647057	0.3382352941176471	0.3848837209302325	0.3764705882352942	0.07941176470588236	0.09883720930232559	0.09411764705882356	0.37647058823529417	0.4011627906976744	0.3882352941176471	0.1441176470588235	0.1511627906976744	0.15294117647058822	0.4264705882352941	0.4104651162790698	0.411764705882353	0.17093023255813952	0.48488372093023263	0.16470588235294115	0.48235294117647054
qwen3.5-9b	swe	9.0	22.0	44.0	0.0	0.0	0.0	0.0	0.5888888888888888	0.6	0.6136363636363635	0.02777777777777778	0.05681818181818181	0.04545454545454545	0.4	0.3977272727272727	0.40909090909090906	0.016666666666666666	0.025	0.022727272727272724	0.7555555555555558	0.7636363636363637	0.7727272727272728	0.03888888888888888	0.05454545454545453	0.04545454545454545	0.6000000000000001	0.6181818181818183	0.6363636363636365	0.07222222222222222	0.09318181818181817	0.0909090909090909	0.6777777777777777	0.6840909090909091	0.7045454545454547	0.09999999999999998	0.775	0.0909090909090909	0.7727272727272728
deepseek-8b	magentic	18.0	46.0	91.0	0.0	0.06666666666666667	0.06956521739130435	0.06593406593406594	0.6027777777777777	0.6119565217391304	0.6043956043956042	0.02777777777777778	0.03152173913043478	0.03296703296703297	0.36666666666666664	0.38913043478260867	0.3846153846153847	0.025	0.016304347826086953	0.021978021978021976	0.48888888888888904	0.5021739130434784	0.4945054945054945	0.05555555555555556	0.05543478260869565	0.05494505494505495	0.5972222222222222	0.6097826086956523	0.5934065934065933	0.07500000000000001	0.06739130434782609	0.06593406593406594	0.5805555555555555	0.5608695652173912	0.5714285714285714	0.08043478260869565	0.6347826086956523	0.06593406593406594	0.6043956043956042
deepseek-8b	captain	17.0	43.0	85.0	0.0	0.1617647058823529	0.14302325581395345	0.1411764705882353	0.5970588235294116	0.5813953488372092	0.588235294117647	0.1529411764705882	0.15	0.15294117647058822	0.6264705882352941	0.5999999999999999	0.6117647058823529	0.20588235294117646	0.17558139534883718	0.1882352941176471	0.511764705882353	0.5046511627906977	0.5176470588235295	0.08529411764705883	0.09534883720930235	0.09411764705882356	0.3470588235294118	0.3546511627906976	0.3647058823529411	0.08823529411764705	0.09651162790697673	0.09411764705882356	0.40588235294117647	0.43139534883720937	0.4352941176470589	0.18488372093023253	0.605813953488372	0.1882352941176471	0.6117647058823529
deepseek-8b	swe	9.0	22.0	44.0	0.0	0.0	0.0	0.0	0.3499999999999999	0.30227272727272725	0.2954545454545455	0.005555555555555555	0.031818181818181815	0.022727272727272724	0.34444444444444444	0.36136363636363633	0.3409090909090909	0.03333333333333334	0.03409090909090909	0.04545454545454545	0.5166666666666667	0.5363636363636363	0.5454545454545453	0.05000000000000001	0.07499999999999998	0.06818181818181816	0.4333333333333333	0.4613636363636363	0.4545454545454546	0.02777777777777778	0.02727272727272727	0.022727272727272724	0.17777777777777778	0.17727272727272725	0.15909090909090912	0.07954545454545453	0.5431818181818181	0.06818181818181816	0.5454545454545453
qwen3.5-4b	magentic	18.0	46.0	91.0	0.0	0.05277777777777778	0.04565217391304347	0.04395604395604395	0.611111111111111	0.601086956521739	0.6043956043956042	0.08611111111111111	0.04782608695652173	0.05494505494505495	0.6527777777777777	0.640217391304348	0.6373626373626372	0.025	0.023913043478260863	0.021978021978021976	0.622222222222222	0.6293478260869565	0.6263736263736263	0.1305555555555555	0.0934782608695652	0.09890109890109891	0.7666666666666667	0.7858695652173913	0.7802197802197803	0.075	0.06630434782608695	0.06593406593406594	0.575	0.6054347826086957	0.5934065934065933	0.09999999999999999	0.7858695652173913	0.09890109890109891	0.7802197802197803
