model	subset	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.11666666666666665	0.10172413793103448	0.10344827586206898	0.5208333333333333	0.560344827586207	0.5344827586206897	0.11666666666666665	0.10172413793103448	0.10344827586206898	0.4583333333333333	0.47586206896551725	0.4655172413793102	0.12916666666666665	0.12068965517241378	0.12068965517241378	0.5083333333333333	0.5672413793103448	0.5344827586206897	0.12916666666666665	0.12068965517241378	0.12068965517241378	0.4916666666666666	0.546551724137931	0.517241379310345	0.11666666666666665	0.10172413793103448	0.10344827586206898	0.5083333333333333	0.5310344827586206	0.517241379310345	0.12068965517241378	0.5741379310344829	0.12068965517241378	0.5344827586206897
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.2	0.19285714285714284	0.19841269841269843	0.4634615384615385	0.4492063492063492	0.4523809523809524	0.21730769230769229	0.20634920634920634	0.20634920634920637	0.40961538461538466	0.41269841269841273	0.41269841269841273	0.2	0.20555555555555555	0.20634920634920637	0.4596153846153846	0.45	0.4523809523809524	0.23653846153846153	0.22539682539682535	0.23015873015873015	0.4653846153846154	0.45555555555555555	0.4603174603174603	0.2557692307692308	0.24365079365079362	0.246031746031746	0.4865384615384616	0.473015873015873	0.47619047619047616	0.2452380952380952	0.4746031746031746	0.246031746031746	0.47619047619047616
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.17083333333333334	0.1810344827586207	0.17241379310344832	0.5416666666666667	0.5896551724137931	0.5689655172413792	0.12916666666666665	0.14827586206896554	0.1379310344827586	0.5041666666666667	0.5603448275862069	0.5344827586206897	0.10833333333333332	0.13793103448275862	0.12068965517241378	0.5041666666666667	0.5793103448275863	0.5517241379310344	0.09166666666666666	0.12068965517241377	0.10344827586206898	0.5041666666666667	0.5793103448275863	0.5517241379310344	0.1875	0.1810344827586207	0.17241379310344832	0.5291666666666666	0.5706896551724138	0.5517241379310344	0.19310344827586207	0.6	0.17241379310344832	0.5689655172413792
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.13846153846153847	0.14523809523809522	0.14285714285714285	0.4057692307692308	0.45555555555555555	0.4444444444444445	0.1307692307692308	0.14126984126984127	0.14285714285714285	0.37500000000000006	0.41666666666666663	0.41269841269841273	0.13269230769230772	0.14047619047619048	0.14285714285714285	0.3865384615384616	0.43650793650793657	0.42857142857142855	0.13269230769230772	0.1388888888888889	0.14285714285714285	0.39038461538461544	0.4428571428571429	0.43650793650793657	0.1557692307692308	0.1492063492063492	0.15079365079365076	0.401923076923077	0.42063492063492064	0.42063492063492064	0.15317460317460316	0.45714285714285713	0.15079365079365076	0.4444444444444445
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.5875	0.603448275862069	0.5862068965517241	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.6208333333333333	0.6172413793103447	0.6034482758620691	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.5875	0.603448275862069	0.5862068965517241	0.11249999999999998	0.1	0.10344827586206898	0.6166666666666668	0.6120689655172413	0.6034482758620691	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.6083333333333334	0.6189655172413793	0.6034482758620691	0.11896551724137931	0.6293103448275861	0.12068965517241378	0.6034482758620691
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.23846153846153845	0.2365079365079365	0.22222222222222224	0.5038461538461538	0.5206349206349206	0.5079365079365079	0.22115384615384617	0.21111111111111108	0.20634920634920637	0.4653846153846154	0.46904761904761905	0.46825396825396826	0.26346153846153847	0.24523809523809526	0.23809523809523808	0.5038461538461538	0.49682539682539684	0.492063492063492	0.24038461538461542	0.2285714285714286	0.22222222222222224	0.4865384615384616	0.48730158730158724	0.4841269841269841	0.27115384615384613	0.23809523809523808	0.23809523809523808	0.5038461538461538	0.488095238095238	0.492063492063492	0.2515873015873016	0.5246031746031745	0.23809523809523808	0.5079365079365079
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.1125	0.16034482758620688	0.1379310344827586	0.4666666666666666	0.5741379310344827	0.5344827586206897	0.08333333333333333	0.11551724137931034	0.10344827586206898	0.47916666666666663	0.5913793103448276	0.5517241379310344	0.1125	0.16034482758620688	0.1379310344827586	0.4791666666666667	0.5913793103448275	0.5517241379310344	0.13333333333333336	0.16379310344827586	0.15517241379310348	0.5208333333333333	0.603448275862069	0.5689655172413792	0.09999999999999999	0.13275862068965516	0.12068965517241378	0.47916666666666663	0.5913793103448276	0.5517241379310344	0.17241379310344826	0.6155172413793103	0.15517241379310348	0.5689655172413792
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.15000000000000002	0.16666666666666663	0.1587301587301587	0.4115384615384615	0.46984126984126984	0.4523809523809524	0.13653846153846153	0.14285714285714285	0.1349206349206349	0.40384615384615385	0.4619047619047619	0.4444444444444445	0.14615384615384613	0.16587301587301587	0.1587301587301587	0.4076923076923077	0.4587301587301587	0.4444444444444445	0.13653846153846155	0.16269841269841268	0.15079365079365076	0.38076923076923075	0.4507936507936508	0.42857142857142855	0.11923076923076922	0.13492063492063494	0.12698412698412698	0.3538461538461538	0.4174603174603175	0.39682539682539686	0.17222222222222222	0.47698412698412695	0.1587301587301587	0.4523809523809524
qwen3.5-27b	hand-crafted	12.0	29.0	58.0	0.0	0.13749999999999998	0.13793103448275862	0.1379310344827586	0.3958333333333333	0.4431034482758621	0.4310344827586207	0.13749999999999998	0.13793103448275862	0.1379310344827586	0.375	0.4362068965517241	0.4137931034482759	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4916666666666667	0.48793103448275854	0.48275862068965514	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4374999999999999	0.4586206896551722	0.4482758620689656	0.12499999999999997	0.11896551724137931	0.12068965517241378	0.4458333333333333	0.5	0.48275862068965514	0.13793103448275862	0.5137931034482758	0.1379310344827586	0.48275862068965514
qwen3.5-27b	algorithm-generated	26.0	63.0	126.0	0.0	0.24807692307692308	0.23015873015873015	0.22222222222222224	0.4807692307692307	0.47698412698412695	0.47619047619047616	0.2596153846153846	0.246031746031746	0.23809523809523808	0.5	0.4992063492063492	0.5	0.24230769230769225	0.2119047619047619	0.20634920634920637	0.5076923076923078	0.4801587301587301	0.4841269841269841	0.21730769230769229	0.21111111111111108	0.20634920634920637	0.44423076923076926	0.45396825396825397	0.4523809523809524	0.24807692307692303	0.23095238095238094	0.22222222222222224	0.4903846153846154	0.48492063492063486	0.4841269841269841	0.25	0.5079365079365079	0.23809523809523808	0.5
