subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
algorithm-generated	deepseek-8b	oat.s42	0.1640	0.4921	0.2460	0.4921	0.1534	0.1905	0.1653	0.1905	0.1429	0.3095	0.4921	0.2870	0.3175	0.5079	0.6032	0.7698	0.8730	0.5040	0.1499	126
algorithm-generated	deepseek-8b	oat.s43	0.1587	0.4762	0.2381	0.4762	0.1607	0.2063	0.1751	0.2063	0.1429	0.3333	0.4762	0.2857	0.3333	0.5159	0.5952	0.7698	0.8651	0.5039	0.1501	126
algorithm-generated	deepseek-8b	oat.s44	0.1534	0.4603	0.2302	0.4603	0.1349	0.1587	0.1429	0.1587	0.1429	0.3492	0.4603	0.2831	0.3413	0.5079	0.6032	0.7698	0.8651	0.5004	0.1491	126
algorithm-generated	deepseek-8b	oat.s45	0.1587	0.4762	0.2381	0.4762	0.1435	0.1984	0.1606	0.1984	0.1429	0.3413	0.4762	0.2870	0.3333	0.5159	0.5952	0.7619	0.8571	0.4988	0.1483	126
algorithm-generated	deepseek-8b	oat.s46	0.1640	0.4921	0.2460	0.4921	0.1442	0.1905	0.1587	0.1905	0.1508	0.3254	0.4921	0.2937	0.3254	0.5079	0.5873	0.7857	0.8889	0.5032	0.1494	126
algorithm-generated	deepseek-8b	stepfinder.s42	0.2037	0.6111	0.3056	0.6111					0.2222	0.4048	0.6111	0.3823	0.3413	0.5873	0.6667	0.8651	0.9206	0.6867	0.1962	126
algorithm-generated	deepseek-8b	stepfinder.s43	0.2196	0.6587	0.3294	0.6587					0.2222	0.4921	0.6587	0.4127	0.3651	0.6190	0.7302	0.8968	0.9206	0.7186	0.2314	126
algorithm-generated	deepseek-8b	stepfinder.s44	0.1958	0.5873	0.2937	0.5873					0.1905	0.3889	0.5873	0.3558	0.3571	0.5952	0.6508	0.8492	0.9127	0.6640	0.1738	126
algorithm-generated	deepseek-8b	stepfinder.s45	0.1693	0.5079	0.2540	0.5079					0.1349	0.3492	0.5079	0.2950	0.2540	0.5317	0.6429	0.8571	0.9127	0.5913	0.1455	126
algorithm-generated	deepseek-8b	stepfinder.s46	0.1931	0.5794	0.2897	0.5794					0.1825	0.3651	0.5794	0.3452	0.3016	0.5556	0.6587	0.8651	0.9127	0.6108	0.1606	126
