model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	hand-crafted	12.0	29.0	58.0	0.0	0.15	0.11551724137931037	0.12068965517241378	0.4208333333333333	0.3689655172413794	0.3793103448275862	0.05833333333333333	0.056896551724137934	0.05172413793103449	0.3916666666666667	0.38275862068965516	0.3793103448275862	0.10416666666666666	0.1275862068965517	0.12068965517241378	0.4791666666666667	0.45344827586206893	0.4655172413793102	0.08333333333333331	0.10517241379310345	0.10344827586206898	0.4666666666666667	0.4706896551724139	0.4655172413793102	0.0875	0.11206896551724137	0.10344827586206898	0.4958333333333334	0.46034482758620693	0.4655172413793102	0.15517241379310345	0.503448275862069	0.12068965517241378	0.4655172413793102
qwen3-embedding-0.6b	algorithm-generated	26.0	63.0	126.0	0.0	0.3365384615384615	0.30317460317460315	0.3095238095238095	0.48269230769230764	0.4595238095238095	0.4603174603174603	0.33269230769230773	0.3158730158730158	0.3174603174603174	0.4673076923076923	0.4809523809523809	0.46825396825396826	0.325	0.3349206349206349	0.32539682539682535	0.5	0.5238095238095237	0.5158730158730159	0.3192307692307692	0.32619047619047614	0.3174603174603174	0.5076923076923077	0.4984126984126984	0.5	0.38269230769230766	0.38968253968253963	0.38095238095238104	0.5769230769230769	0.5801587301587301	0.5714285714285714	0.3912698412698412	0.5809523809523809	0.38095238095238104	0.5714285714285714
qwen3.5-9b	hand-crafted	12.0	29.0	58.0	0.0	0.07916666666666665	0.10344827586206895	0.10344827586206898	0.37083333333333335	0.34655172413793106	0.34482758620689663	0.09999999999999999	0.12068965517241378	0.12068965517241378	0.33749999999999997	0.3137931034482759	0.31034482758620696	0.062499999999999986	0.07068965517241378	0.0689655172413793	0.3333333333333333	0.29655172413793107	0.29310344827586204	0.05833333333333333	0.09827586206896552	0.08620689655172416	0.36249999999999993	0.3603448275862069	0.34482758620689663	0.05416666666666666	0.06896551724137931	0.0689655172413793	0.33749999999999997	0.3137931034482759	0.31034482758620696	0.13793103448275862	0.36551724137931035	0.12068965517241378	0.34482758620689663
qwen3.5-9b	algorithm-generated	26.0	63.0	126.0	0.0	0.3288461538461539	0.2944444444444444	0.3015873015873015	0.4884615384615385	0.48571428571428565	0.492063492063492	0.2711538461538462	0.28174603174603174	0.2777777777777778	0.4865384615384615	0.4984126984126984	0.5	0.31538461538461543	0.31904761904761897	0.3174603174603174	0.5365384615384615	0.5349206349206349	0.5317460317460317	0.28076923076923077	0.2944444444444444	0.2936507936507936	0.4884615384615384	0.4841269841269841	0.492063492063492	0.30961538461538457	0.3015873015873015	0.3015873015873015	0.5634615384615385	0.5515873015873015	0.5555555555555556	0.33809523809523806	0.5650793650793651	0.3174603174603174	0.5555555555555556
deepseek-8b	hand-crafted	12.0	29.0	58.0	0.0	0.029166666666666667	0.06034482758620689	0.05172413793103449	0.3333333333333333	0.3189655172413793	0.31034482758620696	0.1375	0.14482758620689656	0.1379310344827586	0.4625	0.49655172413793097	0.48275862068965514	0.09583333333333331	0.12241379310344824	0.12068965517241378	0.3416666666666667	0.33620689655172414	0.3275862068965517	0.0875	0.1103448275862069	0.10344827586206898	0.36666666666666664	0.33448275862068966	0.3275862068965517	0.04166666666666667	0.056896551724137934	0.05172413793103449	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.16551724137931034	0.49655172413793097	0.1379310344827586	0.48275862068965514
deepseek-8b	algorithm-generated	26.0	63.0	126.0	0.0	0.2519230769230769	0.24285714285714283	0.23809523809523808	0.45384615384615384	0.4936507936507937	0.492063492063492	0.24230769230769234	0.24047619047619045	0.23809523809523808	0.49230769230769234	0.4896825396825396	0.5	0.3096153846153847	0.29682539682539677	0.3015873015873015	0.525	0.5341269841269841	0.5396825396825397	0.2442307692307692	0.23333333333333334	0.23015873015873015	0.4538461538461539	0.47857142857142854	0.47619047619047616	0.21538461538461537	0.22142857142857145	0.22222222222222224	0.425	0.45634920634920634	0.4523809523809524	0.3031746031746031	0.5380952380952381	0.3015873015873015	0.5396825396825397
qwen3.5-4b	hand-crafted	12.0	29.0	58.0	0.0	0.08333333333333333	0.07241379310344828	0.0689655172413793	0.38749999999999996	0.4155172413793104	0.4137931034482759	0.05416666666666666	0.09482758620689655	0.08620689655172416	0.325	0.3258620689655172	0.31034482758620696	0.09583333333333334	0.12241379310344828	0.12068965517241378	0.32499999999999996	0.3155172413793103	0.31034482758620696	0.04166666666666667	0.07586206896551723	0.0689655172413793	0.30416666666666664	0.30517241379310345	0.29310344827586204	0.07916666666666666	0.1275862068965517	0.12068965517241378	0.375	0.37241379310344835	0.3620689655172413	0.13965517241379308	0.4241379310344827	0.12068965517241378	0.4137931034482759
qwen3.5-4b	algorithm-generated	26.0	63.0	126.0	0.0	0.27692307692307694	0.2698412698412699	0.2698412698412698	0.5480769230769231	0.5420634920634921	0.5476190476190477	0.2692307692307692	0.27936507936507937	0.2698412698412698	0.5692307692307692	0.5563492063492064	0.5555555555555556	0.28269230769230774	0.30555555555555547	0.2936507936507936	0.5269230769230768	0.5349206349206348	0.5317460317460317	0.25961538461538464	0.26904761904761904	0.2619047619047619	0.4865384615384615	0.49444444444444446	0.492063492063492	0.2692307692307692	0.27142857142857146	0.2698412698412698	0.5442307692307692	0.5365079365079366	0.5396825396825397	0.31507936507936496	0.5706349206349206	0.2936507936507936	0.5555555555555556
qwen3-14b	hand-crafted	12.0	29.0	58.0	0.0	0.029166666666666664	0.012068965517241381	0.017241379310344824	0.37500000000000006	0.3258620689655173	0.3275862068965517	0.05	0.056896551724137934	0.05172413793103449	0.3625	0.3310344827586207	0.3275862068965517	0.07499999999999998	0.06206896551724138	0.0689655172413793	0.37499999999999994	0.3258620689655172	0.3275862068965517	0.0125	0.027586206896551717	0.017241379310344824	0.3458333333333333	0.3137931034482758	0.31034482758620696	0.029166666666666667	0.05689655172413792	0.05172413793103449	0.30416666666666664	0.27413793103448275	0.2758620689655172	0.08103448275862067	0.3431034482758621	0.0689655172413793	0.3275862068965517
qwen3-14b	algorithm-generated	26.0	63.0	126.0	0.0	0.28076923076923077	0.292063492063492	0.2857142857142857	0.4788461538461538	0.4833333333333333	0.4841269841269841	0.2826923076923077	0.25	0.25396825396825395	0.46923076923076923	0.44841269841269843	0.4523809523809524	0.2788461538461538	0.2738095238095238	0.2777777777777778	0.47115384615384615	0.4801587301587301	0.4841269841269841	0.25000000000000006	0.2619047619047619	0.25396825396825395	0.4673076923076923	0.5142857142857142	0.5079365079365079	0.23076923076923078	0.22777777777777777	0.22222222222222224	0.475	0.4809523809523809	0.47619047619047616	0.3063492063492063	0.5277777777777777	0.2857142857142857	0.5079365079365079
