model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	1.0	0.7431693989071039	0.7521929824561404	0.7697368421052632	0.9125683060109289	0.8881578947368421	0.8848684210526315	0.7521929824561404	0.8881578947368421	0.7697368421052632	0.8848684210526315
qwen3.5-9b	gaia	10.0	25.0	50.0	1.0	0.3333333333333333	0.26666666666666666	0.28	0.8333333333333334	0.6666666666666666	0.7399999999999999	0.26666666666666666	0.6666666666666666	0.28	0.7399999999999999
qwen3.5-9b	hotpot	116.0	289.0	578.0	1.0	0.1235632183908046	0.12226066897347172	0.12629757785467127	0.7758620689655172	0.7727797001153403	0.7768166089965399	0.12226066897347172	0.7727797001153403	0.12629757785467127	0.7768166089965399
qwen3.5-9b	math500	32.0	79.0	157.0	1.0	0.4166666666666667	0.4767932489451477	0.42675159235668786	0.6666666666666666	0.6624472573839663	0.643312101910828	0.4767932489451477	0.6624472573839663	0.42675159235668786	0.643312101910828
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	1.0	0.6315789473684211	0.5869565217391304	0.6086956521739131	0.7719298245614036	0.8550724637681159	0.8260869565217391	0.5869565217391304	0.8550724637681159	0.6086956521739131	0.8260869565217391
qwen3.5-9b	musique	63.0	156.0	312.0	1.0	0.08994708994708994	0.10683760683760683	0.10256410256410257	0.798941798941799	0.7735042735042735	0.7852564102564102	0.10683760683760683	0.7735042735042735	0.10256410256410257	0.7852564102564102
qwen3.5-9b	wikimqa	147.0	367.0	733.0	1.0	0.11564625850340136	0.11080835603996368	0.1077762619372442	0.8231292517006802	0.7647593097184378	0.7844474761255116	0.11080835603996368	0.7647593097184378	0.1077762619372442	0.7844474761255116
deepseek-8b	arc	61.0	152.0	304.0	1.0	0.726775956284153	0.6995614035087718	0.7203947368421053	0.7923497267759562	0.7675438596491229	0.7763157894736842	0.6995614035087718	0.7675438596491229	0.7203947368421053	0.7763157894736842
deepseek-8b	gaia	10.0	25.0	50.0	1.0	0.13333333333333333	0.28	0.22	0.5333333333333333	0.5066666666666667	0.48	0.28	0.5066666666666667	0.22	0.48
deepseek-8b	hotpot	116.0	289.0	578.0	1.0	0.2557471264367816	0.23875432525951557	0.2577854671280277	0.603448275862069	0.6366782006920415	0.6280276816608996	0.23875432525951557	0.6366782006920415	0.2577854671280277	0.6280276816608996
deepseek-8b	math500	32.0	79.0	157.0	1.0	0.3541666666666667	0.38396624472573837	0.3503184713375796	0.5104166666666666	0.5147679324894515	0.48407643312101917	0.38396624472573837	0.5147679324894515	0.3503184713375796	0.48407643312101917
deepseek-8b	mmlu_pro	19.0	46.0	92.0	1.0	0.47368421052631576	0.49275362318840576	0.5108695652173914	0.6315789473684209	0.7753623188405797	0.7282608695652174	0.49275362318840576	0.7753623188405797	0.5108695652173914	0.7282608695652174
deepseek-8b	musique	63.0	156.0	312.0	1.0	0.15343915343915343	0.17735042735042736	0.16666666666666666	0.5502645502645502	0.5790598290598291	0.5673076923076923	0.17735042735042736	0.5790598290598291	0.16666666666666666	0.5673076923076923
deepseek-8b	wikimqa	147.0	367.0	733.0	1.0	0.17006802721088432	0.17257039055404177	0.16371077762619374	0.562358276643991	0.5731153496821072	0.5661664392905866	0.17257039055404177	0.5731153496821072	0.16371077762619374	0.5661664392905866
