model	subset	n_val	n_test	n_full	gt_in_prompt	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	1.0	0.8415300546448087	0.8289473684210525	0.8355263157894738	0.8961748633879781	0.8684210526315789	0.8684210526315791	0.8289473684210525	0.8684210526315789	0.8355263157894738	0.8684210526315791
qwen3.5-9b	gaia	10.0	25.0	50.0	1.0	0.5333333333333333	0.46666666666666673	0.52	0.6	0.64	0.66	0.46666666666666673	0.64	0.52	0.66
qwen3.5-9b	hotpot	116.0	289.0	578.0	1.0	0.5028735632183908	0.5017301038062284	0.5017301038062284	0.7241379310344828	0.718569780853518	0.7179930795847751	0.5017301038062284	0.718569780853518	0.5017301038062284	0.7179930795847751
qwen3.5-9b	math500	32.0	79.0	157.0	1.0	0.53125	0.6286919831223629	0.6050955414012739	0.4895833333333333	0.5822784810126582	0.5286624203821656	0.6286919831223629	0.5822784810126582	0.6050955414012739	0.5286624203821656
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	1.0	0.7368421052631579	0.7028985507246377	0.717391304347826	0.7368421052631579	0.8333333333333334	0.8043478260869565	0.7028985507246377	0.8333333333333334	0.717391304347826	0.8043478260869565
qwen3.5-9b	musique	63.0	156.0	312.0	1.0	0.4338624338624338	0.4743589743589744	0.4551282051282051	0.7142857142857143	0.7136752136752137	0.7115384615384616	0.4743589743589744	0.7136752136752137	0.4551282051282051	0.7115384615384616
qwen3.5-9b	wikimqa	147.0	367.0	733.0	1.0	0.42403628117913833	0.41689373297002724	0.4201909959072306	0.6802721088435374	0.6448683015440508	0.6521145975443383	0.41689373297002724	0.6448683015440508	0.4201909959072306	0.6521145975443383
deepseek-8b	arc	61.0	152.0	304.0	1.0	0.5245901639344263	0.5899122807017544	0.5625	0.9234972677595629	0.8771929824561404	0.8815789473684209	0.5899122807017544	0.8771929824561404	0.5625	0.8815789473684209
deepseek-8b	gaia	10.0	25.0	50.0	1.0	0.20000000000000004	0.41333333333333333	0.34	0.7666666666666666	0.6000000000000001	0.66	0.41333333333333333	0.6000000000000001	0.34	0.66
deepseek-8b	hotpot	116.0	289.0	578.0	1.0	0.3563218390804597	0.3771626297577855	0.3685121107266436	0.617816091954023	0.6309111880046137	0.6228373702422145	0.3771626297577855	0.6309111880046137	0.3685121107266436	0.6228373702422145
deepseek-8b	math500	32.0	79.0	157.0	1.0	0.4895833333333333	0.5147679324894515	0.4968152866242039	0.625	0.649789029535865	0.5987261146496815	0.5147679324894515	0.649789029535865	0.4968152866242039	0.5987261146496815
deepseek-8b	mmlu_pro	19.0	46.0	92.0	1.0	0.47368421052631576	0.45652173913043476	0.4673913043478261	0.6491228070175438	0.7898550724637682	0.75	0.45652173913043476	0.7898550724637682	0.4673913043478261	0.75
deepseek-8b	musique	63.0	156.0	312.0	1.0	0.2804232804232804	0.3141025641025641	0.30128205128205127	0.5714285714285714	0.6153846153846153	0.6057692307692307	0.3141025641025641	0.6153846153846153	0.30128205128205127	0.6057692307692307
deepseek-8b	wikimqa	147.0	367.0	733.0	1.0	0.31519274376417233	0.30154405086285196	0.30013642564802184	0.6031746031746031	0.6121707538601272	0.6084583901773534	0.30154405086285196	0.6121707538601272	0.30013642564802184	0.6084583901773534
gpt-4o	arc	61.0	152.0	304.0	1.0	0.8360655737704917	0.8399122807017543	0.8421052631578947	0.9016393442622951	0.8991228070175438	0.8914473684210527	0.8399122807017543	0.8991228070175438	0.8421052631578947	0.8914473684210527
gpt-4o	gaia	10.0	25.0	50.0	1.0	0.6666666666666666	0.5333333333333333	0.56	0.7333333333333334	0.6000000000000001	0.66	0.5333333333333333	0.6000000000000001	0.56	0.66
gpt-4o	hotpot	116.0	289.0	578.0	1.0	0.5172413793103449	0.5363321799307958	0.5346020761245674	0.735632183908046	0.754325259515571	0.7439446366782007	0.5363321799307958	0.754325259515571	0.5346020761245674	0.7439446366782007
gpt-4o	math500	32.0	79.0	157.0	1.0	0.6145833333333334	0.6497890295358649	0.6178343949044586	0.65625	0.7004219409282699	0.6560509554140127	0.6497890295358649	0.7004219409282699	0.6178343949044586	0.6560509554140127
gpt-4o	mmlu_pro	19.0	46.0	92.0	1.0	0.7719298245614036	0.7898550724637682	0.7717391304347826	0.7894736842105262	0.8260869565217391	0.8152173913043478	0.7898550724637682	0.8260869565217391	0.7717391304347826	0.8152173913043478
gpt-4o	musique	63.0	156.0	312.0	1.0	0.4338624338624338	0.43162393162393164	0.44871794871794873	0.7566137566137566	0.7094017094017094	0.7275641025641025	0.43162393162393164	0.7094017094017094	0.44871794871794873	0.7275641025641025
gpt-4o	wikimqa	147.0	367.0	733.0	1.0	0.5487528344671202	0.49046321525885556	0.4993178717598908	0.743764172335601	0.709355131698456	0.7189631650750341	0.49046321525885556	0.709355131698456	0.4993178717598908	0.7189631650750341
