model	subset	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.7704918032786884	0.7653508771929824	0.7828947368421053	0.9180327868852459	0.9100877192982456	0.9046052631578947	0.7978142076502732	0.6907894736842105	0.7236842105263158	0.7868852459016393	0.6929824561403509	0.7171052631578947	0.8251366120218578	0.8092105263157895	0.8190789473684209	0.8360655737704917	0.8245614035087719	0.8289473684210527	0.8092105263157895	0.9100877192982456	0.8190789473684209	0.9046052631578947
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.3666666666666667	0.26666666666666666	0.28	0.8666666666666666	0.6933333333333334	0.7600000000000001	0.2333333333333333	0.19999999999999998	0.20000000000000004	0.3	0.3066666666666667	0.3	0.6	0.64	0.64	0.7666666666666666	0.6266666666666666	0.6999999999999998	0.64	0.6933333333333334	0.64	0.7600000000000001
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.04310344827586207	0.05190311418685121	0.05709342560553634	0.7988505747126436	0.8004613610149942	0.7993079584775087	0.4942528735632184	0.47750865051903113	0.4809688581314879	0.5919540229885057	0.5686274509803921	0.5778546712802768	0.4195402298850575	0.42906574394463665	0.42214532871972316	0.6293103448275863	0.6020761245674741	0.6055363321799307	0.47750865051903113	0.8004613610149942	0.4809688581314879	0.7993079584775087
qwen3.5-9b	math500	32.0	79.0	157.0	0.0	0.3958333333333333	0.4050632911392405	0.36942675159235666	0.6666666666666666	0.6329113924050633	0.6369426751592356	0.65625	0.59915611814346	0.6050955414012739	0.4895833333333333	0.46835443037974683	0.45859872611464975	0.6458333333333334	0.6919831223628692	0.6624203821656051	0.6354166666666666	0.649789029535865	0.6242038216560509	0.6919831223628692	0.6582278481012658	0.6624203821656051	0.6369426751592356
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	0.0	0.6491228070175438	0.6086956521739131	0.6195652173913043	0.8070175438596491	0.8623188405797101	0.8369565217391305	0.6491228070175438	0.6811594202898551	0.6630434782608695	0.5789473684210525	0.7028985507246377	0.6521739130434783	0.6842105263157894	0.7173913043478262	0.717391304347826	0.7543859649122807	0.8115942028985508	0.7934782608695651	0.7246376811594203	0.8623188405797101	0.717391304347826	0.8369565217391305
qwen3.5-9b	musique	63.0	156.0	312.0	0.0	0.06878306878306878	0.06837606837606837	0.0641025641025641	0.7830687830687829	0.7905982905982906	0.7948717948717948	0.5238095238095238	0.47008547008547	0.4935897435897436	0.6349206349206349	0.5854700854700855	0.6121794871794872	0.40740740740740744	0.37606837606837606	0.375	0.6243386243386243	0.6047008547008547	0.5993589743589743	0.47008547008547	0.7905982905982906	0.4935897435897436	0.7948717948717948
qwen3.5-9b	wikimqa	147.0	367.0	733.0	0.0	0.03854875283446712	0.047229791099000905	0.04229195088676671	0.8344671201814059	0.7820163487738419	0.7967257844474761	0.4376417233560091	0.4350590372388738	0.43656207366984995	0.5963718820861678	0.5821980018165305	0.5757162346521146	0.4308390022675737	0.40962761126248864	0.42155525238744884	0.671201814058957	0.6712079927338782	0.6684856753069578	0.4350590372388738	0.7820163487738419	0.43656207366984995	0.7967257844474761
deepseek-8b	arc	61.0	152.0	304.0	0.0	0.6010928961748633	0.4758771929824562	0.5098684210526315	0.5792349726775957	0.5767543859649122	0.5855263157894737	0.3442622950819672	0.293859649122807	0.3125	0.36612021857923494	0.31798245614035087	0.3355263157894737	0.5956284153005464	0.5986842105263158	0.6052631578947368	0.6994535519125683	0.6666666666666666	0.6677631578947368	0.5986842105263158	0.6666666666666666	0.6052631578947368	0.6677631578947368
deepseek-8b	gaia	10.0	25.0	50.0	0.0	0.26666666666666666	0.16	0.18000000000000002	0.3333333333333333	0.37333333333333335	0.4000000000000001	0.20000000000000004	0.10666666666666667	0.12	0.3333333333333333	0.16	0.20000000000000004	0.30000000000000004	0.36000000000000004	0.32	0.5	0.44	0.44	0.36000000000000004	0.44	0.32	0.44
deepseek-8b	hotpot	116.0	289.0	578.0	0.0	0.10919540229885057	0.09688581314878891	0.10380622837370242	0.3764367816091954	0.37485582468281425	0.3788927335640138	0.10632183908045978	0.13379469434832755	0.13494809688581316	0.33620689655172414	0.28027681660899656	0.30103806228373703	0.2873563218390805	0.30219146482122256	0.3096885813148789	0.5804597701149424	0.5709342560553633	0.583044982698962	0.30219146482122256	0.5709342560553633	0.3096885813148789	0.583044982698962
deepseek-8b	math500	32.0	79.0	157.0	0.0	0.20833333333333334	0.21518987341772153	0.1974522292993631	0.34375	0.29957805907173	0.31210191082802546	0.16666666666666666	0.16033755274261605	0.1592356687898089	0.15625	0.14345991561181434	0.1464968152866242	0.5208333333333334	0.5147679324894515	0.4777070063694267	0.5625	0.47257383966244726	0.47133757961783446	0.5147679324894515	0.47257383966244726	0.4777070063694267	0.47133757961783446
deepseek-8b	mmlu_pro	19.0	46.0	92.0	0.0	0.49122807017543857	0.5144927536231884	0.5108695652173914	0.49122807017543857	0.4710144927536232	0.4673913043478261	0.21052631578947367	0.3550724637681159	0.32608695652173914	0.22807017543859645	0.39855072463768115	0.358695652173913	0.6491228070175439	0.5652173913043478	0.5760869565217391	0.6140350877192983	0.6449275362318841	0.6304347826086957	0.5652173913043478	0.6449275362318841	0.5760869565217391	0.6304347826086957
deepseek-8b	musique	63.0	156.0	312.0	0.0	0.07407407407407407	0.11538461538461538	0.10897435897435898	0.30158730158730157	0.3952991452991453	0.3782051282051282	0.08994708994708994	0.10256410256410257	0.10576923076923077	0.2698412698412698	0.22435897435897437	0.2532051282051282	0.2328042328042328	0.2094017094017094	0.22756410256410256	0.5185185185185185	0.5192307692307692	0.532051282051282	0.2094017094017094	0.5192307692307692	0.22756410256410256	0.532051282051282
