seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	True	0.11764705882352941	0.16279069767441862	0.1411764705882353	0.7647058823529411	0.6046511627906976	0.611764705882353	0.16279069767441862	0.6046511627906976	0.1411764705882353	0.611764705882353
2	17	43	85	True	0.0	0.13953488372093023	0.1411764705882353	0.6470588235294118	0.5348837209302325	0.611764705882353	0.13953488372093023	0.5348837209302325	0.1411764705882353	0.611764705882353
3	17	43	85	True	0.11764705882352941	0.18604651162790697	0.1411764705882353	0.5882352941176471	0.6744186046511628	0.611764705882353	0.18604651162790697	0.6744186046511628	0.1411764705882353	0.611764705882353
4	17	43	85	True	0.058823529411764705	0.11627906976744186	0.1411764705882353	0.4117647058823529	0.5813953488372093	0.611764705882353	0.11627906976744186	0.5813953488372093	0.1411764705882353	0.611764705882353
5	17	43	85	True	0.17647058823529413	0.13953488372093023	0.1411764705882353	0.5882352941176471	0.6511627906976745	0.611764705882353	0.13953488372093023	0.6511627906976745	0.1411764705882353	0.611764705882353
6	17	43	85	True	0.23529411764705882	0.16279069767441862	0.1411764705882353	0.47058823529411764	0.627906976744186	0.611764705882353	0.16279069767441862	0.627906976744186	0.1411764705882353	0.611764705882353
7	17	43	85	True	0.17647058823529413	0.13953488372093023	0.1411764705882353	0.5882352941176471	0.6976744186046512	0.611764705882353	0.13953488372093023	0.6976744186046512	0.1411764705882353	0.611764705882353
8	17	43	85	True	0.17647058823529413	0.09302325581395349	0.1411764705882353	0.7647058823529411	0.5116279069767442	0.611764705882353	0.09302325581395349	0.5116279069767442	0.1411764705882353	0.611764705882353
9	17	43	85	True	0.11764705882352941	0.18604651162790697	0.1411764705882353	0.47058823529411764	0.7209302325581395	0.611764705882353	0.18604651162790697	0.7209302325581395	0.1411764705882353	0.611764705882353
10	17	43	85	True	0.11764705882352941	0.13953488372093023	0.1411764705882353	0.47058823529411764	0.6511627906976745	0.611764705882353	0.13953488372093023	0.6511627906976745	0.1411764705882353	0.611764705882353
11	17	43	85	True	0.058823529411764705	0.13953488372093023	0.1411764705882353	0.7058823529411765	0.5581395348837209	0.611764705882353	0.13953488372093023	0.5581395348837209	0.1411764705882353	0.611764705882353
12	17	43	85	True	0.17647058823529413	0.16279069767441862	0.1411764705882353	0.7058823529411765	0.627906976744186	0.611764705882353	0.16279069767441862	0.627906976744186	0.1411764705882353	0.611764705882353
13	17	43	85	True	0.23529411764705882	0.13953488372093023	0.1411764705882353	0.7647058823529411	0.5813953488372093	0.611764705882353	0.13953488372093023	0.5813953488372093	0.1411764705882353	0.611764705882353
14	17	43	85	True	0.11764705882352941	0.11627906976744186	0.1411764705882353	0.4117647058823529	0.6744186046511628	0.611764705882353	0.11627906976744186	0.6744186046511628	0.1411764705882353	0.611764705882353
15	17	43	85	True	0.058823529411764705	0.18604651162790697	0.1411764705882353	0.5882352941176471	0.6976744186046512	0.611764705882353	0.18604651162790697	0.6976744186046512	0.1411764705882353	0.611764705882353
16	17	43	85	True	0.17647058823529413	0.13953488372093023	0.1411764705882353	0.7058823529411765	0.5581395348837209	0.611764705882353	0.13953488372093023	0.5581395348837209	0.1411764705882353	0.611764705882353
17	17	43	85	True	0.11764705882352941	0.13953488372093023	0.1411764705882353	0.7058823529411765	0.6511627906976745	0.611764705882353	0.13953488372093023	0.6511627906976745	0.1411764705882353	0.611764705882353
18	17	43	85	True	0.11764705882352941	0.18604651162790697	0.1411764705882353	0.47058823529411764	0.6976744186046512	0.611764705882353	0.18604651162790697	0.6976744186046512	0.1411764705882353	0.611764705882353
19	17	43	85	True	0.29411764705882354	0.06976744186046512	0.1411764705882353	0.7058823529411765	0.5813953488372093	0.611764705882353	0.06976744186046512	0.5813953488372093	0.1411764705882353	0.611764705882353
20	17	43	85	True	0.058823529411764705	0.13953488372093023	0.1411764705882353	0.5882352941176471	0.627906976744186	0.611764705882353	0.13953488372093023	0.627906976744186	0.1411764705882353	0.611764705882353
