seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	True	0.0	0.08695652173913043	0.06593406593406594	0.5	0.6521739130434783	0.6263736263736264	0.08695652173913043	0.6521739130434783	0.06593406593406594	0.6263736263736264
2	18	46	91	True	0.0	0.08695652173913043	0.06593406593406594	0.5555555555555556	0.6521739130434783	0.6263736263736264	0.08695652173913043	0.6521739130434783	0.06593406593406594	0.6263736263736264
3	18	46	91	True	0.05555555555555555	0.021739130434782608	0.06593406593406594	0.7777777777777778	0.6304347826086957	0.6263736263736264	0.021739130434782608	0.6304347826086957	0.06593406593406594	0.6263736263736264
4	18	46	91	True	0.0	0.06521739130434782	0.06593406593406594	0.6666666666666666	0.6739130434782609	0.6263736263736264	0.06521739130434782	0.6739130434782609	0.06593406593406594	0.6263736263736264
5	18	46	91	True	0.0	0.06521739130434782	0.06593406593406594	0.4444444444444444	0.6739130434782609	0.6263736263736264	0.06521739130434782	0.6739130434782609	0.06593406593406594	0.6263736263736264
6	18	46	91	True	0.0	0.08695652173913043	0.06593406593406594	0.6111111111111112	0.6304347826086957	0.6263736263736264	0.08695652173913043	0.6304347826086957	0.06593406593406594	0.6263736263736264
7	18	46	91	True	0.1111111111111111	0.06521739130434782	0.06593406593406594	0.6666666666666666	0.5434782608695652	0.6263736263736264	0.06521739130434782	0.5434782608695652	0.06593406593406594	0.6263736263736264
8	18	46	91	True	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.8888888888888888	0.5217391304347826	0.6263736263736264	0.08695652173913043	0.5217391304347826	0.06593406593406594	0.6263736263736264
9	18	46	91	True	0.05555555555555555	0.10869565217391304	0.06593406593406594	0.6666666666666666	0.6304347826086957	0.6263736263736264	0.10869565217391304	0.6304347826086957	0.06593406593406594	0.6263736263736264
10	18	46	91	True	0.1111111111111111	0.06521739130434782	0.06593406593406594	0.5555555555555556	0.6739130434782609	0.6263736263736264	0.06521739130434782	0.6739130434782609	0.06593406593406594	0.6263736263736264
11	18	46	91	True	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.6111111111111112	0.6086956521739131	0.6263736263736264	0.08695652173913043	0.6086956521739131	0.06593406593406594	0.6263736263736264
12	18	46	91	True	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.7222222222222222	0.6086956521739131	0.6263736263736264	0.08695652173913043	0.6086956521739131	0.06593406593406594	0.6263736263736264
13	18	46	91	True	0.05555555555555555	0.021739130434782608	0.06593406593406594	0.8333333333333334	0.717391304347826	0.6263736263736264	0.021739130434782608	0.717391304347826	0.06593406593406594	0.6263736263736264
14	18	46	91	True	0.0	0.08695652173913043	0.06593406593406594	0.6666666666666666	0.6304347826086957	0.6263736263736264	0.08695652173913043	0.6304347826086957	0.06593406593406594	0.6263736263736264
15	18	46	91	True	0.05555555555555555	0.043478260869565216	0.06593406593406594	0.6111111111111112	0.6304347826086957	0.6263736263736264	0.043478260869565216	0.6304347826086957	0.06593406593406594	0.6263736263736264
16	18	46	91	True	0.0	0.06521739130434782	0.06593406593406594	0.7222222222222222	0.6521739130434783	0.6263736263736264	0.06521739130434782	0.6521739130434783	0.06593406593406594	0.6263736263736264
17	18	46	91	True	0.2777777777777778	0.0	0.06593406593406594	0.3888888888888889	0.717391304347826	0.6263736263736264	0.0	0.717391304347826	0.06593406593406594	0.6263736263736264
18	18	46	91	True	0.0	0.043478260869565216	0.06593406593406594	0.6666666666666666	0.6304347826086957	0.6263736263736264	0.043478260869565216	0.6304347826086957	0.06593406593406594	0.6263736263736264
19	18	46	91	True	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.6666666666666666	0.6956521739130435	0.6263736263736264	0.06521739130434782	0.6956521739130435	0.06593406593406594	0.6263736263736264
20	18	46	91	True	0.1111111111111111	0.021739130434782608	0.06593406593406594	0.6666666666666666	0.5869565217391305	0.6263736263736264	0.021739130434782608	0.5869565217391305	0.06593406593406594	0.6263736263736264
