seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	True													0.4117647058823529	0.20930232558139536	0.27058823529411763	0.7058823529411765	0.6046511627906976	0.6352941176470588	0.20930232558139536	0.6046511627906976	0.27058823529411763	0.6352941176470588
2	17	43	85	True													0.17647058823529413	0.23255813953488372	0.27058823529411763	0.5294117647058824	0.6046511627906976	0.6352941176470588	0.23255813953488372	0.6046511627906976	0.27058823529411763	0.6352941176470588
3	17	43	85	True													0.35294117647058826	0.32558139534883723	0.27058823529411763	0.6470588235294118	0.7209302325581395	0.6352941176470588	0.32558139534883723	0.7209302325581395	0.27058823529411763	0.6352941176470588
4	17	43	85	True													0.058823529411764705	0.32558139534883723	0.27058823529411763	0.5882352941176471	0.6511627906976745	0.6352941176470588	0.32558139534883723	0.6511627906976745	0.27058823529411763	0.6352941176470588
5	17	43	85	True													0.29411764705882354	0.20930232558139536	0.27058823529411763	0.5294117647058824	0.627906976744186	0.6352941176470588	0.20930232558139536	0.627906976744186	0.27058823529411763	0.6352941176470588
6	17	43	85	True													0.29411764705882354	0.23255813953488372	0.27058823529411763	0.4117647058823529	0.6744186046511628	0.6352941176470588	0.23255813953488372	0.6744186046511628	0.27058823529411763	0.6352941176470588
7	17	43	85	True													0.11764705882352941	0.3488372093023256	0.27058823529411763	0.5882352941176471	0.7209302325581395	0.6352941176470588	0.3488372093023256	0.7209302325581395	0.27058823529411763	0.6352941176470588
8	17	43	85	True													0.4117647058823529	0.23255813953488372	0.27058823529411763	0.9411764705882353	0.5348837209302325	0.6352941176470588	0.23255813953488372	0.5348837209302325	0.27058823529411763	0.6352941176470588
9	17	43	85	True													0.29411764705882354	0.3023255813953488	0.27058823529411763	0.6470588235294118	0.7209302325581395	0.6352941176470588	0.3023255813953488	0.7209302325581395	0.27058823529411763	0.6352941176470588
10	17	43	85	True													0.17647058823529413	0.2558139534883721	0.27058823529411763	0.6470588235294118	0.6744186046511628	0.6352941176470588	0.2558139534883721	0.6744186046511628	0.27058823529411763	0.6352941176470588
11	17	43	85	True													0.17647058823529413	0.32558139534883723	0.27058823529411763	0.5882352941176471	0.6976744186046512	0.6352941176470588	0.32558139534883723	0.6976744186046512	0.27058823529411763	0.6352941176470588
12	17	43	85	True													0.35294117647058826	0.2558139534883721	0.27058823529411763	0.6470588235294118	0.6744186046511628	0.6352941176470588	0.2558139534883721	0.6744186046511628	0.27058823529411763	0.6352941176470588
13	17	43	85	True													0.4117647058823529	0.27906976744186046	0.27058823529411763	0.7058823529411765	0.7209302325581395	0.6352941176470588	0.27906976744186046	0.7209302325581395	0.27058823529411763	0.6352941176470588
14	17	43	85	True													0.17647058823529413	0.3023255813953488	0.27058823529411763	0.47058823529411764	0.7209302325581395	0.6352941176470588	0.3023255813953488	0.7209302325581395	0.27058823529411763	0.6352941176470588
15	17	43	85	True													0.29411764705882354	0.3023255813953488	0.27058823529411763	0.7058823529411765	0.6511627906976745	0.6352941176470588	0.3023255813953488	0.6511627906976745	0.27058823529411763	0.6352941176470588
16	17	43	85	True													0.17647058823529413	0.3023255813953488	0.27058823529411763	0.5294117647058824	0.6046511627906976	0.6352941176470588	0.3023255813953488	0.6046511627906976	0.27058823529411763	0.6352941176470588
17	17	43	85	True													0.23529411764705882	0.37209302325581395	0.27058823529411763	0.6470588235294118	0.6744186046511628	0.6352941176470588	0.37209302325581395	0.6744186046511628	0.27058823529411763	0.6352941176470588
18	17	43	85	True													0.17647058823529413	0.3023255813953488	0.27058823529411763	0.35294117647058826	0.6744186046511628	0.6352941176470588	0.3023255813953488	0.6744186046511628	0.27058823529411763	0.6352941176470588
19	17	43	85	True													0.47058823529411764	0.20930232558139536	0.27058823529411763	0.7647058823529411	0.5581395348837209	0.6352941176470588	0.20930232558139536	0.5581395348837209	0.27058823529411763	0.6352941176470588
20	17	43	85	True													0.11764705882352941	0.23255813953488372	0.27058823529411763	0.5882352941176471	0.6046511627906976	0.6352941176470588	0.23255813953488372	0.6046511627906976	0.27058823529411763	0.6352941176470588
