seed	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	True	0.058823529411764705	0.09302325581395349	0.08235294117647059	0.7058823529411765	0.5581395348837209	0.611764705882353	0.4117647058823529	0.06976744186046512	0.18823529411764706	0.6470588235294118	0.37209302325581395	0.49411764705882355	0.23529411764705882	0.20930232558139536	0.25882352941176473	0.5882352941176471	0.5813953488372093	0.6	0.20930232558139536	0.5813953488372093	0.25882352941176473	0.611764705882353
2	17	43	85	True	0.0	0.11627906976744186	0.08235294117647059	0.6470588235294118	0.5581395348837209	0.611764705882353	0.11764705882352941	0.18604651162790697	0.18823529411764706	0.5294117647058824	0.4883720930232558	0.49411764705882355	0.11764705882352941	0.3023255813953488	0.25882352941176473	0.6470588235294118	0.5813953488372093	0.6	0.3023255813953488	0.5813953488372093	0.25882352941176473	0.611764705882353
3	17	43	85	True	0.11764705882352941	0.09302325581395349	0.08235294117647059	0.5294117647058824	0.7441860465116279	0.611764705882353	0.17647058823529413	0.2558139534883721	0.18823529411764706	0.5882352941176471	0.5348837209302325	0.49411764705882355	0.17647058823529413	0.37209302325581395	0.25882352941176473	0.4117647058823529	0.7441860465116279	0.6	0.37209302325581395	0.7441860465116279	0.25882352941176473	0.611764705882353
4	17	43	85	True	0.11764705882352941	0.11627906976744186	0.08235294117647059	0.5294117647058824	0.627906976744186	0.611764705882353	0.29411764705882354	0.16279069767441862	0.18823529411764706	0.47058823529411764	0.5348837209302325	0.49411764705882355	0.29411764705882354	0.2558139534883721	0.25882352941176473	0.47058823529411764	0.6744186046511628	0.6	0.2558139534883721	0.6744186046511628	0.25882352941176473	0.611764705882353
5	17	43	85	True	0.0	0.11627906976744186	0.08235294117647059	0.5882352941176471	0.6511627906976745	0.611764705882353	0.11764705882352941	0.23255813953488372	0.18823529411764706	0.4117647058823529	0.5581395348837209	0.49411764705882355	0.23529411764705882	0.27906976744186046	0.25882352941176473	0.5294117647058824	0.6511627906976745	0.6	0.27906976744186046	0.6511627906976745	0.25882352941176473	0.611764705882353
6	17	43	85	True	0.17647058823529413	0.06976744186046512	0.08235294117647059	0.4117647058823529	0.6511627906976745	0.611764705882353	0.17647058823529413	0.16279069767441862	0.18823529411764706	0.23529411764705882	0.5581395348837209	0.49411764705882355	0.11764705882352941	0.32558139534883723	0.25882352941176473	0.47058823529411764	0.6511627906976745	0.6	0.32558139534883723	0.6511627906976745	0.25882352941176473	0.611764705882353
7	17	43	85	True	0.11764705882352941	0.046511627906976744	0.08235294117647059	0.6470588235294118	0.6976744186046512	0.611764705882353	0.23529411764705882	0.13953488372093023	0.18823529411764706	0.5294117647058824	0.46511627906976744	0.49411764705882355	0.17647058823529413	0.32558139534883723	0.25882352941176473	0.5294117647058824	0.6511627906976745	0.6	0.32558139534883723	0.6976744186046512	0.25882352941176473	0.611764705882353
8	17	43	85	True	0.058823529411764705	0.06976744186046512	0.08235294117647059	0.7647058823529411	0.5813953488372093	0.611764705882353	0.23529411764705882	0.16279069767441862	0.18823529411764706	0.47058823529411764	0.46511627906976744	0.49411764705882355	0.47058823529411764	0.20930232558139536	0.25882352941176473	0.6470588235294118	0.6046511627906976	0.6	0.20930232558139536	0.6046511627906976	0.25882352941176473	0.611764705882353
9	17	43	85	True	0.058823529411764705	0.09302325581395349	0.08235294117647059	0.47058823529411764	0.7674418604651163	0.611764705882353	0.058823529411764705	0.2558139534883721	0.18823529411764706	0.35294117647058826	0.5581395348837209	0.49411764705882355	0.17647058823529413	0.32558139534883723	0.25882352941176473	0.47058823529411764	0.7209302325581395	0.6	0.32558139534883723	0.7674418604651163	0.25882352941176473	0.611764705882353
10	17	43	85	True	0.11764705882352941	0.046511627906976744	0.08235294117647059	0.5882352941176471	0.6511627906976745	0.611764705882353	0.23529411764705882	0.20930232558139536	0.18823529411764706	0.5882352941176471	0.5116279069767442	0.49411764705882355	0.29411764705882354	0.20930232558139536	0.25882352941176473	0.5882352941176471	0.6511627906976745	0.6	0.20930232558139536	0.6511627906976745	0.25882352941176473	0.611764705882353
11	17	43	85	True	0.11764705882352941	0.09302325581395349	0.08235294117647059	0.5882352941176471	0.5813953488372093	0.611764705882353	0.29411764705882354	0.23255813953488372	0.18823529411764706	0.6470588235294118	0.4883720930232558	0.49411764705882355	0.058823529411764705	0.37209302325581395	0.25882352941176473	0.35294117647058826	0.6744186046511628	0.6	0.37209302325581395	0.6744186046511628	0.25882352941176473	0.611764705882353
12	17	43	85	True	0.058823529411764705	0.09302325581395349	0.08235294117647059	0.6470588235294118	0.6511627906976745	0.611764705882353	0.17647058823529413	0.20930232558139536	0.18823529411764706	0.47058823529411764	0.5116279069767442	0.49411764705882355	0.29411764705882354	0.2558139534883721	0.25882352941176473	0.5882352941176471	0.5581395348837209	0.6	0.2558139534883721	0.6511627906976745	0.25882352941176473	0.611764705882353
