seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	True	0.0	0.03125	0.015748031496062992	0.15384615384615385	0.234375	0.23622047244094488	0.03125	0.234375	0.015748031496062992	0.23622047244094488
2	26	64	127	True	0.0	0.03125	0.015748031496062992	0.2692307692307692	0.25	0.23622047244094488	0.03125	0.25	0.015748031496062992	0.23622047244094488
3	26	64	127	True	0.0	0.03125	0.015748031496062992	0.23076923076923078	0.234375	0.23622047244094488	0.03125	0.234375	0.015748031496062992	0.23622047244094488
4	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.11538461538461539	0.3125	0.23622047244094488	0.015625	0.3125	0.015748031496062992	0.23622047244094488
5	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.11538461538461539	0.265625	0.23622047244094488	0.015625	0.265625	0.015748031496062992	0.23622047244094488
6	26	64	127	True	0.0	0.03125	0.015748031496062992	0.23076923076923078	0.265625	0.23622047244094488	0.03125	0.265625	0.015748031496062992	0.23622047244094488
7	26	64	127	True	0.0	0.015625	0.015748031496062992	0.2692307692307692	0.265625	0.23622047244094488	0.015625	0.265625	0.015748031496062992	0.23622047244094488
8	26	64	127	True	0.0	0.015625	0.015748031496062992	0.3076923076923077	0.296875	0.23622047244094488	0.015625	0.296875	0.015748031496062992	0.23622047244094488
9	26	64	127	True	0.0	0.015625	0.015748031496062992	0.2692307692307692	0.15625	0.23622047244094488	0.015625	0.15625	0.015748031496062992	0.23622047244094488
10	26	64	127	True	0.0	0.03125	0.015748031496062992	0.4230769230769231	0.171875	0.23622047244094488	0.03125	0.171875	0.015748031496062992	0.23622047244094488
11	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.19230769230769232	0.203125	0.23622047244094488	0.015625	0.203125	0.015748031496062992	0.23622047244094488
12	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.23076923076923078	0.25	0.23622047244094488	0.015625	0.25	0.015748031496062992	0.23622047244094488
13	26	64	127	True	0.0	0.03125	0.015748031496062992	0.15384615384615385	0.25	0.23622047244094488	0.03125	0.25	0.015748031496062992	0.23622047244094488
14	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.3076923076923077	0.234375	0.23622047244094488	0.015625	0.234375	0.015748031496062992	0.23622047244094488
15	26	64	127	True	0.0	0.03125	0.015748031496062992	0.2692307692307692	0.21875	0.23622047244094488	0.03125	0.21875	0.015748031496062992	0.23622047244094488
16	26	64	127	True	0.07692307692307693	0.0	0.015748031496062992	0.2692307692307692	0.203125	0.23622047244094488	0.0	0.203125	0.015748031496062992	0.23622047244094488
17	26	64	127	True	0.038461538461538464	0.015625	0.015748031496062992	0.23076923076923078	0.234375	0.23622047244094488	0.015625	0.234375	0.015748031496062992	0.23622047244094488
18	26	64	127	True	0.0	0.015625	0.015748031496062992	0.23076923076923078	0.203125	0.23622047244094488	0.015625	0.203125	0.015748031496062992	0.23622047244094488
19	26	64	127	True	0.0	0.015625	0.015748031496062992	0.3076923076923077	0.265625	0.23622047244094488	0.015625	0.265625	0.015748031496062992	0.23622047244094488
20	26	64	127	True	0.038461538461538464	0.0	0.015748031496062992	0.15384615384615385	0.234375	0.23622047244094488	0.0	0.234375	0.015748031496062992	0.23622047244094488
