seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	True	0.038461538461538464	0.0625	0.05511811023622047	0.6923076923076923	0.734375	0.7322834645669292	0.0625	0.734375	0.05511811023622047	0.7322834645669292
2	26	64	127	True	0.07692307692307693	0.046875	0.05511811023622047	0.7692307692307693	0.6875	0.7322834645669292	0.046875	0.6875	0.05511811023622047	0.7322834645669292
3	26	64	127	True	0.07692307692307693	0.046875	0.05511811023622047	0.7692307692307693	0.78125	0.7322834645669292	0.046875	0.78125	0.05511811023622047	0.7322834645669292
4	26	64	127	True	0.038461538461538464	0.0625	0.05511811023622047	0.7692307692307693	0.734375	0.7322834645669292	0.0625	0.734375	0.05511811023622047	0.7322834645669292
5	26	64	127	True	0.11538461538461539	0.03125	0.05511811023622047	0.7307692307692307	0.734375	0.7322834645669292	0.03125	0.734375	0.05511811023622047	0.7322834645669292
6	26	64	127	True	0.07692307692307693	0.046875	0.05511811023622047	0.6923076923076923	0.703125	0.7322834645669292	0.046875	0.703125	0.05511811023622047	0.7322834645669292
7	26	64	127	True	0.0	0.0625	0.05511811023622047	0.7307692307692307	0.734375	0.7322834645669292	0.0625	0.734375	0.05511811023622047	0.7322834645669292
8	26	64	127	True	0.038461538461538464	0.046875	0.05511811023622047	0.8076923076923077	0.765625	0.7322834645669292	0.046875	0.765625	0.05511811023622047	0.7322834645669292
9	26	64	127	True	0.038461538461538464	0.046875	0.05511811023622047	0.7307692307692307	0.671875	0.7322834645669292	0.046875	0.671875	0.05511811023622047	0.7322834645669292
10	26	64	127	True	0.038461538461538464	0.0625	0.05511811023622047	0.6538461538461539	0.78125	0.7322834645669292	0.0625	0.78125	0.05511811023622047	0.7322834645669292
11	26	64	127	True	0.11538461538461539	0.015625	0.05511811023622047	0.8461538461538461	0.703125	0.7322834645669292	0.015625	0.703125	0.05511811023622047	0.7322834645669292
12	26	64	127	True	0.038461538461538464	0.0625	0.05511811023622047	0.7692307692307693	0.71875	0.7322834645669292	0.0625	0.71875	0.05511811023622047	0.7322834645669292
13	26	64	127	True	0.11538461538461539	0.0625	0.05511811023622047	0.6538461538461539	0.75	0.7322834645669292	0.0625	0.75	0.05511811023622047	0.7322834645669292
14	26	64	127	True	0.07692307692307693	0.0625	0.05511811023622047	0.8076923076923077	0.703125	0.7322834645669292	0.0625	0.703125	0.05511811023622047	0.7322834645669292
15	26	64	127	True	0.038461538461538464	0.078125	0.05511811023622047	0.7692307692307693	0.71875	0.7322834645669292	0.078125	0.71875	0.05511811023622047	0.7322834645669292
16	26	64	127	True	0.11538461538461539	0.046875	0.05511811023622047	0.7307692307692307	0.734375	0.7322834645669292	0.046875	0.734375	0.05511811023622047	0.7322834645669292
17	26	64	127	True	0.11538461538461539	0.046875	0.05511811023622047	0.6538461538461539	0.78125	0.7322834645669292	0.046875	0.78125	0.05511811023622047	0.7322834645669292
18	26	64	127	True	0.038461538461538464	0.078125	0.05511811023622047	0.6923076923076923	0.71875	0.7322834645669292	0.078125	0.71875	0.05511811023622047	0.7322834645669292
19	26	64	127	True	0.038461538461538464	0.015625	0.05511811023622047	0.7692307692307693	0.71875	0.7322834645669292	0.015625	0.71875	0.05511811023622047	0.7322834645669292
20	26	64	127	True	0.038461538461538464	0.078125	0.05511811023622047	0.6923076923076923	0.71875	0.7322834645669292	0.078125	0.71875	0.05511811023622047	0.7322834645669292
