seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	True	0.19230769230769232	0.09375	0.15748031496062992	0.8076923076923077	0.90625	0.84251968503937	0.09375	0.90625	0.15748031496062992	0.84251968503937
2	26	64	127	True	0.11538461538461539	0.1875	0.15748031496062992	0.8846153846153846	0.765625	0.84251968503937	0.1875	0.765625	0.15748031496062992	0.84251968503937
3	26	64	127	True	0.23076923076923078	0.15625	0.15748031496062992	0.9230769230769231	0.859375	0.84251968503937	0.15625	0.859375	0.15748031496062992	0.84251968503937
4	26	64	127	True	0.23076923076923078	0.125	0.15748031496062992	0.8846153846153846	0.875	0.84251968503937	0.125	0.875	0.15748031496062992	0.84251968503937
5	26	64	127	True	0.11538461538461539	0.15625	0.15748031496062992	0.9615384615384616	0.828125	0.84251968503937	0.15625	0.828125	0.15748031496062992	0.84251968503937
6	26	64	127	True	0.07692307692307693	0.15625	0.15748031496062992	0.8076923076923077	0.8125	0.84251968503937	0.15625	0.8125	0.15748031496062992	0.84251968503937
7	26	64	127	True	0.15384615384615385	0.140625	0.15748031496062992	0.8076923076923077	0.796875	0.84251968503937	0.140625	0.796875	0.15748031496062992	0.84251968503937
8	26	64	127	True	0.19230769230769232	0.15625	0.15748031496062992	0.8846153846153846	0.78125	0.84251968503937	0.15625	0.78125	0.15748031496062992	0.84251968503937
9	26	64	127	True	0.19230769230769232	0.09375	0.15748031496062992	0.8461538461538461	0.8125	0.84251968503937	0.09375	0.8125	0.15748031496062992	0.84251968503937
10	26	64	127	True	0.19230769230769232	0.171875	0.15748031496062992	0.7307692307692307	0.875	0.84251968503937	0.171875	0.875	0.15748031496062992	0.84251968503937
11	26	64	127	True	0.23076923076923078	0.109375	0.15748031496062992	1.0	0.8125	0.84251968503937	0.109375	0.8125	0.15748031496062992	0.84251968503937
12	26	64	127	True	0.19230769230769232	0.09375	0.15748031496062992	0.9615384615384616	0.8125	0.84251968503937	0.09375	0.8125	0.15748031496062992	0.84251968503937
13	26	64	127	True	0.07692307692307693	0.109375	0.15748031496062992	0.8076923076923077	0.90625	0.84251968503937	0.109375	0.90625	0.15748031496062992	0.84251968503937
14	26	64	127	True	0.19230769230769232	0.125	0.15748031496062992	0.8846153846153846	0.84375	0.84251968503937	0.125	0.84375	0.15748031496062992	0.84251968503937
15	26	64	127	True	0.15384615384615385	0.21875	0.15748031496062992	0.8076923076923077	0.828125	0.84251968503937	0.21875	0.828125	0.15748031496062992	0.84251968503937
16	26	64	127	True	0.15384615384615385	0.171875	0.15748031496062992	0.7692307692307693	0.875	0.84251968503937	0.171875	0.875	0.15748031496062992	0.84251968503937
17	26	64	127	True	0.07692307692307693	0.140625	0.15748031496062992	0.6923076923076923	0.921875	0.84251968503937	0.140625	0.921875	0.15748031496062992	0.84251968503937
18	26	64	127	True	0.11538461538461539	0.1875	0.15748031496062992	0.7692307692307693	0.875	0.84251968503937	0.1875	0.875	0.15748031496062992	0.84251968503937
19	26	64	127	True	0.07692307692307693	0.125	0.15748031496062992	0.8846153846153846	0.828125	0.84251968503937	0.125	0.828125	0.15748031496062992	0.84251968503937
20	26	64	127	True	0.15384615384615385	0.171875	0.15748031496062992	0.8846153846153846	0.84375	0.84251968503937	0.171875	0.84375	0.15748031496062992	0.84251968503937
