seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	True	0.038461538461538464	0.015625	0.03937007874015748	0.38461538461538464	0.53125	0.48031496062992124	0.11538461538461539	0.015625	0.03937007874015748	0.2692307692307692	0.09375	0.15748031496062992	0.11538461538461539	0.046875	0.06299212598425197	0.5	0.46875	0.5039370078740157	0.046875	0.53125	0.06299212598425197	0.5039370078740157
2	26	64	127	True	0.038461538461538464	0.046875	0.03937007874015748	0.5	0.46875	0.48031496062992124	0.038461538461538464	0.046875	0.03937007874015748	0.23076923076923078	0.140625	0.15748031496062992	0.11538461538461539	0.046875	0.06299212598425197	0.5384615384615384	0.5	0.5039370078740157	0.046875	0.5	0.06299212598425197	0.5039370078740157
3	26	64	127	True	0.07692307692307693	0.03125	0.03937007874015748	0.6538461538461539	0.4375	0.48031496062992124	0.0	0.03125	0.03937007874015748	0.19230769230769232	0.125	0.15748031496062992	0.07692307692307693	0.046875	0.06299212598425197	0.5384615384615384	0.53125	0.5039370078740157	0.046875	0.53125	0.06299212598425197	0.5039370078740157
4	26	64	127	True	0.038461538461538464	0.0625	0.03937007874015748	0.4230769230769231	0.53125	0.48031496062992124	0.0	0.03125	0.03937007874015748	0.0	0.15625	0.15748031496062992	0.038461538461538464	0.046875	0.06299212598425197	0.34615384615384615	0.59375	0.5039370078740157	0.0625	0.59375	0.06299212598425197	0.5039370078740157
5	26	64	127	True	0.0	0.046875	0.03937007874015748	0.5769230769230769	0.484375	0.48031496062992124	0.0	0.046875	0.03937007874015748	0.15384615384615385	0.15625	0.15748031496062992	0.11538461538461539	0.046875	0.06299212598425197	0.6923076923076923	0.5	0.5039370078740157	0.046875	0.5	0.06299212598425197	0.5039370078740157
6	26	64	127	True	0.0	0.046875	0.03937007874015748	0.46153846153846156	0.453125	0.48031496062992124	0.038461538461538464	0.046875	0.03937007874015748	0.15384615384615385	0.15625	0.15748031496062992	0.15384615384615385	0.046875	0.06299212598425197	0.6153846153846154	0.5	0.5039370078740157	0.046875	0.5	0.06299212598425197	0.5039370078740157
7	26	64	127	True	0.0	0.046875	0.03937007874015748	0.5384615384615384	0.5	0.48031496062992124	0.07692307692307693	0.03125	0.03937007874015748	0.19230769230769232	0.15625	0.15748031496062992	0.07692307692307693	0.078125	0.06299212598425197	0.5769230769230769	0.484375	0.5039370078740157	0.078125	0.5	0.06299212598425197	0.5039370078740157
8	26	64	127	True	0.038461538461538464	0.046875	0.03937007874015748	0.5	0.484375	0.48031496062992124	0.038461538461538464	0.046875	0.03937007874015748	0.11538461538461539	0.1875	0.15748031496062992	0.07692307692307693	0.046875	0.06299212598425197	0.46153846153846156	0.515625	0.5039370078740157	0.046875	0.515625	0.06299212598425197	0.5039370078740157
9	26	64	127	True	0.038461538461538464	0.03125	0.03937007874015748	0.5	0.421875	0.48031496062992124	0.0	0.046875	0.03937007874015748	0.07692307692307693	0.15625	0.15748031496062992	0.038461538461538464	0.03125	0.06299212598425197	0.46153846153846156	0.4375	0.5039370078740157	0.046875	0.4375	0.06299212598425197	0.5039370078740157
10	26	64	127	True	0.07692307692307693	0.03125	0.03937007874015748	0.5384615384615384	0.453125	0.48031496062992124	0.038461538461538464	0.03125	0.03937007874015748	0.15384615384615385	0.171875	0.15748031496062992	0.11538461538461539	0.015625	0.06299212598425197	0.46153846153846156	0.5	0.5039370078740157	0.03125	0.5	0.06299212598425197	0.5039370078740157
