seed	n_val	n_test	n_full	gt_in_prompt	chief_step@1_val	chief_step@1_test	chief_step@1_full	chief_agent@1_val	chief_agent@1_test	chief_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	63	126	True	0.3076923076923077	0.30158730158730157	0.2777777777777778	0.5769230769230769	0.47619047619047616	0.48412698412698413	0.30158730158730157	0.47619047619047616	0.2777777777777778	0.48412698412698413
2	26	63	126	True	0.38461538461538464	0.30158730158730157	0.2777777777777778	0.5769230769230769	0.42857142857142855	0.48412698412698413	0.30158730158730157	0.42857142857142855	0.2777777777777778	0.48412698412698413
3	26	63	126	True	0.38461538461538464	0.23809523809523808	0.2777777777777778	0.5769230769230769	0.4603174603174603	0.48412698412698413	0.23809523809523808	0.4603174603174603	0.2777777777777778	0.48412698412698413
4	26	63	126	True	0.38461538461538464	0.2698412698412698	0.2777777777777778	0.5	0.5079365079365079	0.48412698412698413	0.2698412698412698	0.5079365079365079	0.2777777777777778	0.48412698412698413
5	26	63	126	True	0.23076923076923078	0.2857142857142857	0.2777777777777778	0.3076923076923077	0.5396825396825397	0.48412698412698413	0.2857142857142857	0.5396825396825397	0.2777777777777778	0.48412698412698413
6	26	63	126	True	0.19230769230769232	0.30158730158730157	0.2777777777777778	0.46153846153846156	0.5079365079365079	0.48412698412698413	0.30158730158730157	0.5079365079365079	0.2777777777777778	0.48412698412698413
7	26	63	126	True	0.19230769230769232	0.25396825396825395	0.2777777777777778	0.4230769230769231	0.4444444444444444	0.48412698412698413	0.25396825396825395	0.4444444444444444	0.2777777777777778	0.48412698412698413
8	26	63	126	True	0.23076923076923078	0.36507936507936506	0.2777777777777778	0.46153846153846156	0.5873015873015873	0.48412698412698413	0.36507936507936506	0.5873015873015873	0.2777777777777778	0.48412698412698413
9	26	63	126	True	0.2692307692307692	0.2698412698412698	0.2777777777777778	0.5384615384615384	0.4603174603174603	0.48412698412698413	0.2698412698412698	0.4603174603174603	0.2777777777777778	0.48412698412698413
10	26	63	126	True	0.15384615384615385	0.36507936507936506	0.2777777777777778	0.3076923076923077	0.5873015873015873	0.48412698412698413	0.36507936507936506	0.5873015873015873	0.2777777777777778	0.48412698412698413
11	26	63	126	True	0.34615384615384615	0.25396825396825395	0.2777777777777778	0.6538461538461539	0.4444444444444444	0.48412698412698413	0.25396825396825395	0.4444444444444444	0.2777777777777778	0.48412698412698413
12	26	63	126	True	0.2692307692307692	0.2857142857142857	0.2777777777777778	0.5	0.47619047619047616	0.48412698412698413	0.2857142857142857	0.47619047619047616	0.2777777777777778	0.48412698412698413
13	26	63	126	True	0.3076923076923077	0.31746031746031744	0.2777777777777778	0.6153846153846154	0.47619047619047616	0.48412698412698413	0.31746031746031744	0.47619047619047616	0.2777777777777778	0.48412698412698413
14	26	63	126	True	0.23076923076923078	0.25396825396825395	0.2777777777777778	0.3076923076923077	0.49206349206349204	0.48412698412698413	0.25396825396825395	0.49206349206349204	0.2777777777777778	0.48412698412698413
15	26	63	126	True	0.2692307692307692	0.31746031746031744	0.2777777777777778	0.5384615384615384	0.49206349206349204	0.48412698412698413	0.31746031746031744	0.49206349206349204	0.2777777777777778	0.48412698412698413
16	26	63	126	True	0.23076923076923078	0.2857142857142857	0.2777777777777778	0.46153846153846156	0.4603174603174603	0.48412698412698413	0.2857142857142857	0.4603174603174603	0.2777777777777778	0.48412698412698413
17	26	63	126	True	0.3076923076923077	0.23809523809523808	0.2777777777777778	0.4230769230769231	0.47619047619047616	0.48412698412698413	0.23809523809523808	0.47619047619047616	0.2777777777777778	0.48412698412698413
18	26	63	126	True	0.11538461538461539	0.2857142857142857	0.2777777777777778	0.38461538461538464	0.49206349206349204	0.48412698412698413	0.2857142857142857	0.49206349206349204	0.2777777777777778	0.48412698412698413
19	26	63	126	True	0.2692307692307692	0.2698412698412698	0.2777777777777778	0.38461538461538464	0.49206349206349204	0.48412698412698413	0.2698412698412698	0.49206349206349204	0.2777777777777778	0.48412698412698413
20	26	63	126	True	0.15384615384615385	0.2698412698412698	0.2777777777777778	0.3076923076923077	0.5238095238095238	0.48412698412698413	0.2698412698412698	0.5238095238095238	0.2777777777777778	0.48412698412698413
