label	id	seconds	n_calls
correct	1	2.2844	1
correct	2	0.8582	1
correct	3	0.9292	1
correct	4	1.0065	1
correct	5	0.9828	1
correct	6	0.8143	1
correct	7	0.9515	1
correct	8	0.9993	1
correct	9	2.0871	1
correct	10	0.8776	1
correct	11	1.2769	1
correct	12	5.7630	1
correct	13	5.8881	1
correct	14	2.0397	1
correct	15	5.8659	1
correct	16	1.4379	1
correct	17	1.7554	1
correct	18	1.0478	1
correct	19	0.9078	1
correct	21	0.9004	1
correct	22	0.8676	1
correct	23	0.9468	1
correct	24	0.9294	1
correct	25	1.2116	1
correct	26	5.4956	1
correct	27	2.4050	1
correct	29	0.9639	1
correct	30	0.7583	1
correct	31	1.0613	1
correct	32	0.7972	1
correct	33	0.9233	1
correct	34	1.2064	1
correct	36	0.8917	1
correct	37	5.7933	1
correct	38	1.6938	1
correct	39	3.5525	1
correct	40	5.8377	1
correct	41	1.1179	1
correct	42	0.8571	1
correct	43	1.1304	1
