with_gt	judge	subset	method	n_traj	n_costed	n_mismatch	calls_per_traj	prompt_tok_per_traj	out_tok_per_traj	prompt_tok_per_call	truncate_prompt_tokens	step_mode
False	qwen3.5-9b	algorithm-generated	all_at_once	40	40	0	1.0	2811.2	311.9	2811.2		
False	qwen3.5-9b	algorithm-generated	step_by_step	40	40	0	8.575	16728.7	992.5	1950.9		batch
False	qwen3.5-9b	algorithm-generated	binary_search	40	40	0	2.825	4464.2	5.7	1580.3		
False	qwen3.5-9b	algorithm-generated	correct	40	40	0	1.0	3628.6	290.9	3628.6		
False	qwen3.5-9b	algorithm-generated	chief	40	40	0	6.0	27441.6	4362.0	4573.6		
False	qwen3.5-9b	algorithm-generated	errorprobe_paper	40	40	0	5.0	11873.8	1493.7	2374.8	15872	
True	qwen3.5-9b	algorithm-generated	all_at_once	40	40	0	1.0	2826.9		2826.9		
True	qwen3.5-9b	algorithm-generated	step_by_step	40	0	0						
True	qwen3.5-9b	algorithm-generated	binary_search	40	0	0						
True	qwen3.5-9b	algorithm-generated	correct	40	40	0	1.0	3644.2	318.6	3644.2		
True	qwen3.5-9b	algorithm-generated	chief	40	40	0	6.0	27388.8	4238.3	4564.8		
True	qwen3.5-9b	algorithm-generated	errorprobe_paper	40	40	0	4.95	11908.2	1536.3	2405.7	15872	
