label	id	seconds	n_calls
step_by_step_early	4	13.2376	1
step_by_step_early	5	11.1890	1
step_by_step_early	6	4.6807	1
step_by_step_early	12	12.4520	1
step_by_step_early	22	13.3812	1
step_by_step_early	24	8.2499	1
step_by_step_early	25	5.0795	1
step_by_step_early	26	13.5543	1
step_by_step_early	29	8.6485	1
step_by_step_early	32	7.0061	1
step_by_step_early	33	6.2198	1
step_by_step_early	34	2.7448	1
step_by_step_early	43	14.5397	1
step_by_step_early	45	13.6296	1
step_by_step_early	48	3.0019	1
step_by_step_early	54	18.3050	1
step_by_step_early	57	11.3394	1
