method	gt	subset	encoder	params_b	n_test	step@1_test_mean	step@1_test_std	agent@1_test_mean	agent@1_test_std
oat	without	algorithm-generated	qwen3.5-4b	4	63	23.52	1.42	49.78	2.13
oat	without	algorithm-generated	qwen3.5-9b	9	63	21.98	2.17	45.25	2.25
oat	without	algorithm-generated	qwen3-14b	14	63	15.75	1.50	45.60	2.09
oat	without	algorithm-generated	qwen3.5-27b	27	63	23.00	1.64	48.39	1.88
oat	without	algorithm-generated	deepseek-8b	8	63	14.47	0.56	43.82	1.71
oat	without	hand-crafted	qwen3.5-4b	4	29	11.58	0.77	61.41	1.00
oat	without	hand-crafted	qwen3.5-9b	9	29	11.12	1.04	54.25	3.61
oat	without	hand-crafted	qwen3-14b	14	29	15.09	2.19	59.45	1.39
oat	without	hand-crafted	qwen3.5-27b	27	29	12.84	1.04	47.33	3.18
oat	without	hand-crafted	deepseek-8b	8	29	16.03	2.88	57.99	1.39
oat	with	algorithm-generated	qwen3.5-4b	4	63	22.41	2.10	49.47	2.61
oat	with	algorithm-generated	qwen3.5-9b	9	63	20.24	1.77	45.24	2.35
oat	with	algorithm-generated	qwen3-14b	14	63	14.34	1.43	43.37	1.16
oat	with	algorithm-generated	qwen3.5-27b	27	63	22.58	1.93	48.21	2.27
oat	with	algorithm-generated	deepseek-8b	8	63	15.61	0.68	43.99	1.31
oat	with	hand-crafted	qwen3.5-4b	4	29	9.80	1.99	60.17	3.03
oat	with	hand-crafted	qwen3.5-9b	9	29	8.45	0.00	54.68	4.21
oat	with	hand-crafted	qwen3-14b	14	29	16.35	2.40	62.18	1.68
oat	with	hand-crafted	qwen3.5-27b	27	29	11.90	0.00	50.49	2.04
oat	with	hand-crafted	deepseek-8b	8	29	16.29	1.01	58.33	2.75
stepfinder	without	algorithm-generated	qwen3-embedding-0.6b	0.6	63	22.87	3.25	46.11	3.77
stepfinder	without	algorithm-generated	qwen3.5-4b	4	63	18.08	3.72	45.37	3.62
stepfinder	without	algorithm-generated	qwen3.5-9b	9	63	18.15	3.33	42.65	4.60
stepfinder	without	algorithm-generated	qwen3-14b	14	63	22.06	3.20	47.28	3.06
stepfinder	without	algorithm-generated	qwen3.5-27b	27	63	15.01	1.64	39.84	2.43
stepfinder	without	algorithm-generated	deepseek-8b	8	63	20.13	4.21	46.98	3.10
stepfinder	without	hand-crafted	qwen3-embedding-0.6b	0.6	29	11.64	2.54	43.68	4.37
stepfinder	without	hand-crafted	qwen3.5-4b	4	29	10.60	2.38	32.04	2.15
stepfinder	without	hand-crafted	qwen3.5-9b	9	29	12.73	4.90	37.82	6.72
stepfinder	without	hand-crafted	qwen3-14b	14	29	12.33	3.30	40.80	11.81
stepfinder	without	hand-crafted	qwen3.5-27b	27	29	13.36	4.66	37.50	4.71
stepfinder	without	hand-crafted	deepseek-8b	8	29	10.34	3.12	40.46	8.09
stepfinder	with	algorithm-generated	qwen3-embedding-0.6b	0.6	63	23.04	2.92	46.49	3.92
stepfinder	with	algorithm-generated	qwen3.5-4b	4	63	14.78	1.83	44.70	3.30
stepfinder	with	algorithm-generated	qwen3.5-9b	9	63	18.03	4.95	43.57	5.43
stepfinder	with	algorithm-generated	qwen3-14b	14	63	22.35	3.01	48.96	3.10
stepfinder	with	algorithm-generated	qwen3.5-27b	27	63	13.86	1.61	39.07	1.68
stepfinder	with	algorithm-generated	deepseek-8b	8	63	20.09	4.29	46.23	4.87
stepfinder	with	hand-crafted	qwen3-embedding-0.6b	0.6	29	10.75	2.47	42.90	5.35
stepfinder	with	hand-crafted	qwen3.5-4b	4	29	10.52	2.39	32.84	1.19
stepfinder	with	hand-crafted	qwen3.5-9b	9	29	11.52	4.59	37.64	6.84
stepfinder	with	hand-crafted	qwen3-14b	14	29	12.07	3.71	40.49	12.33
stepfinder	with	hand-crafted	qwen3.5-27b	27	29	11.32	5.15	36.58	4.91
stepfinder	with	hand-crafted	deepseek-8b	8	29	9.66	2.81	40.06	8.74
