family	gt	encoder	WW-AG	WW-AG_sd	WW-HC	WW-HC_sd	CE	CE_sd	TE-Cap	TE-Cap_sd	TE-Mag	TE-Mag_sd
stepfinder	without	qwen3-embedding-0.6b	23.28	3.33	10.34	3.35	28.05	6.48	15.35	2.15	18.26	5.03
stepfinder	without	qwen3.5-4b	18.52	3.74	8.74	1.31	14.93	4.48	19.22	8.55	4.78	0.65
stepfinder	without	qwen3.5-9b	18.94	3.12	11.49	5.86	24.94	8.75	16.90	4.95	7.97	0.72
stepfinder	without	deepseek-8b	16.83	4.37	9.66	3.69	26.67	2.91	14.26	7.12	4.35	3.24
stepfinder	without	qwen3-14b	22.22	3.04	12.41	3.67	31.67	4.31	17.83	2.90	6.38	1.57
stepfinder	without	qwen3.5-27b	12.91	2.71	10.11	3.19	21.63	6.53	19.22	1.01	9.57	2.43
stepfinder-pca	without	qwen3-embedding-0.6b	26.77	2.71	8.97	2.86	30.87	3.74	15.19	2.72	15.51	2.15
stepfinder-pca	without	qwen3.5-4b	22.22	3.47	8.51	1.54	22.95	5.49	14.57	3.73	3.62	1.45
stepfinder-pca	without	qwen3.5-9b	24.66	4.24	6.90	1.99	32.75	4.75	23.26	2.33	8.70	1.98
stepfinder-pca	without	deepseek-8b	18.20	1.27	6.90	1.15	29.25	2.37	18.14	3.27	4.20	2.01
stepfinder-pca	without	qwen3-14b	22.96	2.91	5.75	0.81	27.47	3.38	19.53	3.35	2.61	2.44
stepfinder-pca	without	qwen3.5-27b	26.67	3.19	8.28	1.70	26.92	3.77	17.98	3.89	7.97	1.15
stepfinder-tsel	without	qwen3-embedding-0.6b	29.52	3.88	9.89	4.11	8.32	4.64	16.43	4.15	5.94	4.57
stepfinder-tsel	without	qwen3.5-4b	28.68	1.47	9.66	3.41	12.10	2.85	21.71	3.99	4.06	2.93
stepfinder-tsel	without	qwen3.5-9b	25.50	2.35	13.33	6.22	17.08	11.91	13.80	3.31	6.67	2.87
stepfinder-tsel	without	deepseek-8b	22.75	2.97	13.33	3.41	25.04	2.43	14.26	2.93	4.64	3.10
stepfinder-tsel	without	qwen3-14b	29.21	3.31	10.11	3.08	26.30	10.95	13.80	4.50	6.09	2.21
stepfinder-tsel	without	qwen3.5-27b	16.93	1.30	8.05	3.90	15.55	7.57	15.04	2.30	7.54	3.72
stepfinder-pca-tsel	without	qwen3-embedding-0.6b	34.50	3.65	8.97	3.19	9.50	4.51	12.25	3.61	7.68	5.01
stepfinder-pca-tsel	without	qwen3.5-4b	29.42	2.44	9.66	2.38	13.14	7.22	9.15	3.02	4.78	3.79
stepfinder-pca-tsel	without	qwen3.5-9b	31.22	1.12	8.51	2.09	23.95	6.60	19.07	5.44	7.39	2.20
stepfinder-pca-tsel	without	deepseek-8b	23.17	3.56	8.97	4.41	16.65	11.21	11.78	7.46	3.04	2.20
stepfinder-pca-tsel	without	qwen3-14b	27.09	2.88	3.91	2.09	22.78	10.76	18.29	2.09	3.62	2.35
stepfinder-pca-tsel	without	qwen3.5-27b	28.68	3.46	6.67	0.96	23.13	6.08	15.35	4.50	10.29	1.73
stepfinder	with	qwen3-embedding-0.6b	23.60	2.96	9.66	2.38	26.56	6.24	15.66	1.85	18.26	5.16
stepfinder	with	qwen3.5-4b	16.40	3.37	8.51	1.54	19.03	3.39	19.22	6.52	3.77	0.61
stepfinder	with	qwen3.5-9b	18.62	4.71	10.11	5.54	24.05	5.65	15.97	5.76	8.26	1.59
stepfinder	with	deepseek-8b	17.67	4.94	8.28	2.98	19.53	3.78	14.73	7.39	5.07	3.07
stepfinder	with	qwen3-14b	23.49	1.89	12.18	4.03	24.23	4.86	19.22	3.07	6.38	2.48
stepfinder	with	qwen3.5-27b	12.17	2.37	9.20	3.63	20.30	3.49	20.31	2.22	10.00	2.48
stepfinder-pca	with	qwen3-embedding-0.6b	26.56	3.21	8.28	2.49	30.13	2.92	14.57	2.41	15.51	2.15
stepfinder-pca	with	qwen3.5-4b	21.80	4.51	8.05	2.30	23.36	5.20	18.91	2.23	3.33	0.83
stepfinder-pca	with	qwen3.5-9b	23.28	3.72	6.90	1.99	30.84	5.58	23.26	2.57	9.28	1.19
stepfinder-pca	with	deepseek-8b	16.08	1.89	6.44	1.54	28.29	2.26	20.31	3.48	5.07	2.11
stepfinder-pca	with	qwen3-14b	21.27	2.23	4.83	0.96	25.95	3.78	20.00	4.82	2.46	1.50
stepfinder-pca	with	qwen3.5-27b	25.08	4.67	8.74	2.24	23.63	2.42	17.05	3.10	7.68	1.32
stepfinder-tsel	with	qwen3-embedding-0.6b	31.85	3.33	9.89	4.11	8.40	4.83	17.83	4.35	5.94	4.57
stepfinder-tsel	with	qwen3.5-4b	22.01	3.48	8.97	2.74	15.55	4.34	17.67	4.63	4.35	2.90
stepfinder-tsel	with	qwen3.5-9b	24.13	2.61	9.66	7.02	12.76	10.84	18.91	2.77	4.78	3.18
stepfinder-tsel	with	deepseek-8b	22.33	2.91	11.95	3.11	17.21	3.21	16.12	7.26	6.81	4.05
stepfinder-tsel	with	qwen3-14b	26.35	1.89	11.03	3.00	21.89	5.47	13.80	3.81	7.54	2.64
stepfinder-tsel	with	qwen3.5-27b	17.78	1.22	7.36	3.41	16.25	6.55	16.12	2.59	6.96	3.79
stepfinder-pca-tsel	with	qwen3-embedding-0.6b	36.19	3.08	9.43	3.58	9.25	4.45	16.12	3.02	7.25	5.45
stepfinder-pca-tsel	with	qwen3.5-4b	24.44	2.76	8.97	2.86	14.48	8.48	12.56	3.57	4.78	3.01
stepfinder-pca-tsel	with	qwen3.5-9b	28.25	2.29	8.28	2.21	23.85	3.59	19.84	4.16	7.97	1.70
stepfinder-pca-tsel	with	deepseek-8b	24.76	3.67	7.36	4.78	18.70	11.61	15.19	5.97	3.04	2.20
stepfinder-pca-tsel	with	qwen3-14b	24.13	2.41	3.91	2.38	24.05	12.17	16.90	2.87	2.46	1.50
stepfinder-pca-tsel	with	qwen3.5-27b	27.41	2.38	7.36	2.24	18.68	8.95	14.88	2.41	8.26	3.72
